onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.83	1.358	face	n/a	age	surprise	female	WC	old	task-faces/2Surprise_Model1_1Female_1WC_2Old.mp4
5.188	1.783	rating	0.9049	age	surprise	female	WC	old	n/a
5.988	0.983	rating_mouse_trajectory	0.9049	age	surprise	female	WC	old	n/a
7.112	1.344	face	n/a	age	surprise	male	WC	young	task-faces/2Surprise_Model2_2Male_1WC_1Young.mp4
8.456	0.3	rating	0.3042	age	surprise	male	WC	young	n/a
8.489	0.267	rating_mouse_trajectory	0.3042	age	surprise	male	WC	young	n/a
10.376	1.331	face	n/a	age	sad	male	EA	old	task-faces/6Sad_Model3_2Male_2EA_2Old.mp4
11.707	1.35	rating	0.4134	age	sad	male	EA	old	n/a
12.207	0.85	rating_mouse_trajectory	0.4134	age	sad	male	EA	old	n/a
14.632	2.043	face	n/a	age	pleasure	male	WC	young	task-faces/8Pleasure_Model2_2Male_1WC_1Young.mp4
16.676	1.845	rating	0.3265	age	pleasure	male	WC	young	n/a
17.192	1.328	rating_mouse_trajectory	0.3265	age	pleasure	male	WC	young	n/a
18.597	1.347	face	n/a	age	happy	female	EA	old	task-faces/1Happy_Model2_1Female_2EA_2Old.mp4
19.944	1.45	rating	0.5247	age	happy	female	EA	old	n/a
20.294	1.1	rating_mouse_trajectory	0.5247	age	happy	female	EA	old	n/a
25.859	1.321	face	n/a	age	sad	female	EA	old	task-faces/6Sad_Model2_1Female_2EA_2Old.mp4
27.18	1.25	rating	0.3426	age	sad	female	EA	old	n/a
27.73	0.7	rating_mouse_trajectory	0.3426	age	sad	female	EA	old	n/a
29.103	1.328	face	n/a	age	sad	female	WC	old	task-faces/6Sad_Model3_1Female_1WC_2Old.mp4
30.431	1.4	rating	0.7108	age	sad	female	WC	old	n/a
30.848	0.983	rating_mouse_trajectory	0.7108	age	sad	female	WC	old	n/a
32.354	2.062	face	n/a	age	pleasure	male	WC	old	task-faces/8Pleasure_Model1_2Male_1WC_2Old.mp4
34.416	0.45	rating	0.3507	age	pleasure	male	WC	old	n/a
34.666	0.2	rating_mouse_trajectory	0.3507	age	pleasure	male	WC	old	n/a
36.323	2.044	face	n/a	age	pleasure	male	African	old	task-faces/8Pleasure_Model5_2Male_3African_2Old.mp4
38.368	1.867	rating	0.5287	age	pleasure	male	African	old	n/a
39.201	1.033	rating_mouse_trajectory	0.5287	age	pleasure	male	African	old	n/a
40.273	2.046	face	n/a	age	pain	female	WC	young	task-faces/7Pain_Model3_1Female_1WC_1Young.mp4
42.319	0.55	rating	0.2132	age	pain	female	WC	young	n/a
42.619	0.25	rating_mouse_trajectory	0.2132	age	pain	female	WC	young	n/a
46.225	1.329	face	n/a	age	fear	female	African	old	task-faces/3Fear_Model4_1Female_3African_2Old.mp4
47.555	1.683	rating	0.3993	age	fear	female	African	old	n/a
48.405	0.833	rating_mouse_trajectory	0.3993	age	fear	female	African	old	n/a
50.461	2.046	face	n/a	age	pain	male	WC	old	task-faces/7Pain_Model5_2Male_1WC_2Old.mp4
52.507	0.867	rating	0.6744	age	pain	male	WC	old	n/a
52.773	0.6	rating_mouse_trajectory	0.6744	age	pain	male	WC	old	n/a
56.427	1.315	face	n/a	age	sad	male	African	young	task-faces/6Sad_Model5_2Male_3African_1Young.mp4
