onset	duration	trial_type	response_value	stim_file
2.767	105.998	video	n/a	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
110.981	2.173	rating_relevance	10.31	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
115.95	2.12	rating_happy	38.75	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
120.552	1.705	rating_sad	34.9	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
124.603	0.74	rating_afraid	18.23	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
129.588	0.715	rating_disgusted	94.79	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
135.807	1.916	rating_warm	30.42	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
140.792	1.882	rating_engaged	44.79	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
143.946	74.833	video	n/a	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
220.889	2.071	rating_relevance	3.75	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
225.257	1.416	rating_happy	26.67	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
230.176	1.315	rating_sad	17.92	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
234.794	0.915	rating_afraid	0.0	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
241.513	2.616	rating_disgusted	24.38	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
245.848	1.933	rating_warm	65.83	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
250.533	1.6	rating_engaged	21.25	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
253.968	196.927	video	n/a	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
453.242	2.305	rating_relevance	5.83	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
457.694	1.733	rating_happy	14.17	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
462.296	1.316	rating_sad	3.96	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
466.814	0.816	rating_afraid	0.31	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
471.666	0.649	rating_disgusted	0.0	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
477.085	1.049	rating_warm	0.42	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
482.603	1.55	rating_engaged	7.4	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
