onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
157.247	0.635	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg
158.197	1.035	tomspunt	argument?	why_face	yes	no	incorrect	task-tomspunt/F_433.jpg
159.548	0.768	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg
160.632	1.002	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg
161.949	0.697	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg
162.949	0.963	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg
172.986	0.918	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg
174.22	0.751	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg
175.287	0.735	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg
176.337	0.541	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg
177.188	0.641	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg
178.138	0.591	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg
179.038	0.591	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg
179.939	0.624	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg
190.876	0.836	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg
192.027	0.752	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg
193.094	0.701	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg
194.111	0.618	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg
195.044	1.019	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg
196.378	0.669	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg
197.362	0.718	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg
198.396	0.802	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg
208.666	0.568	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg
