onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
6.85	0.2	posner	invalid_cue	correct	right	n/a	n/a	1
7.067	0.554	posner	target_response	correct	right	left	left	1
10.735	0.2	posner	valid_cue	correct	left	n/a	n/a	2
10.935	0.391	posner	target_response	correct	left	left	left	2
18.205	0.2	posner	valid_cue	correct	right	n/a	n/a	3
18.405	0.358	posner	target_response	correct	right	right	right	3
21.673	0.2	posner	invalid_cue	correct	left	n/a	n/a	4
21.873	0.357	posner	target_response	correct	left	right	right	4
25.541	0.2	posner	invalid_cue	correct	left	n/a	n/a	5
25.741	0.345	posner	target_response	correct	left	right	right	5
29.409	0.2	posner	invalid_cue	correct	left	n/a	n/a	6
29.609	0.399	posner	target_response	correct	left	right	right	6
33.877	0.2	posner	invalid_cue	correct	left	n/a	n/a	7
34.077	0.43	posner	target_response	correct	left	right	right	7
41.347	0.2	posner	invalid_cue	correct	right	n/a	n/a	8
41.547	0.447	posner	target_response	correct	right	left	left	8
50.017	0.2	posner	valid_cue	correct	right	n/a	n/a	9
50.217	0.383	posner	target_response	correct	right	right	right	9
53.084	0.2	posner	invalid_cue	correct	left	n/a	n/a	10
53.284	0.397	posner	target_response	correct	left	right	right	10
56.052	0.2	posner	invalid_cue	correct	left	n/a	n/a	11
56.252	0.558	posner	target_response	correct	left	right	right	11
59.42	0.2	posner	valid_cue	correct	left	n/a	n/a	12
59.62	0.42	posner	target_response	correct	left	left	left	12
65.489	0.2	posner	invalid_cue	correct	left	n/a	n/a	13
65.689	0.326	posner	target_response	correct	left	right	right	13
69.157	0.2	posner	valid_cue	correct	right	n/a	n/a	14
69.357	0.401	posner	target_response	correct	right	right	right	14
72.425	0.2	posner	invalid_cue	correct	left	n/a	n/a	15
72.625	0.394	posner	target_response	correct	left	right	right	15
79.394	0.2	posner	invalid_cue	correct	right	n/a	n/a	16
79.594	0.391	posner	target_response	correct	right	left	left	16
82.862	0.2	posner	valid_cue	correct	left	n/a	n/a	17
83.062	0.345	posner	target_response	correct	left	left	left	17
86.33	0.2	posner	invalid_cue	correct	left	n/a	n/a	18
86.53	0.37	posner	target_response	correct	left	right	right	18
93.8	0.2	posner	valid_cue	correct	left	n/a	n/a	19
94.0	0.347	posner	target_response	correct	left	left	left	19
99.068	0.2	posner	valid_cue	correct	right	n/a	n/a	20
99.268	0.433	posner	target_response	correct	right	right	right	20
105.437	0.2	posner	invalid_cue	correct	left	n/a	n/a	21
105.637	0.392	posner	target_response	correct	left	right	right	21
110.806	0.2	posner	valid_cue	correct	right	n/a	n/a	22
111.006	0.368	posner	target_response	correct	right	right	right	22
114.274	0.2	posner	valid_cue	correct	right	n/a	n/a	23
114.474	0.46	posner	target_response	correct	right	right	right	23
121.043	0.2	posner	invalid_cue	correct	right	n/a	n/a	24
121.243	0.398	posner	target_response	correct	right	left	left	24
125.611	0.2	posner	valid_cue	correct	left	n/a	n/a	25
125.812	0.442	posner	target_response	correct	left	left	left	25
