onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.985	1.034	memory	dummy	study_dummy	n/a	task-memory/obj085donkey.png	n/a	n/a
10.035	1.017	memory	dummy	study_dummy	n/a	task-memory/obj116genie.png	n/a	n/a
12.086	1.017	memory	dummy	study_dummy	n/a	task-memory/obj121globe.png	n/a	n/a
14.137	1.017	memory	study	study	n/a	task-memory/obj251rose.png	n/a	n/a
16.188	1.017	memory	study	study	n/a	task-memory/obj120glasses.png	n/a	n/a
18.238	1.017	memory	study	study	n/a	task-memory/obj234queen.png	n/a	n/a
20.272	1.017	memory	study	study	n/a	task-memory/obj043cage.png	n/a	n/a
22.307	1.017	memory	study	study	n/a	task-memory/obj171lizard.png	n/a	n/a
24.341	1.017	memory	study	study	n/a	task-memory/obj001accordion.png	n/a	n/a
26.375	1.017	memory	study	study	n/a	task-memory/obj017barbecue.png	n/a	n/a
28.409	1.017	memory	study	study	n/a	task-memory/obj029bomb.png	n/a	n/a
30.443	1.017	memory	study	study	n/a	task-memory/obj270skeleton.png	n/a	n/a
32.477	1.017	memory	study	study	n/a	task-memory/obj141hoof.png	n/a	n/a
34.511	1.017	memory	study	study	n/a	task-memory/obj284spoon.png	n/a	n/a
36.545	1.017	memory	study	study	n/a	task-memory/obj038broom.png	n/a	n/a
38.579	1.017	memory	study	study	n/a	task-memory/obj031book.png	n/a	n/a
40.613	1.017	memory	study	study	n/a	task-memory/obj325vest.png	n/a	n/a
42.647	1.017	memory	study	study	n/a	task-memory/obj230priest.png	n/a	n/a
44.682	1.034	memory	study	study	n/a	task-memory/obj278snowman.png	n/a	n/a
46.732	1.034	memory	study	study	n/a	task-memory/obj106flashlight.png	n/a	n/a
48.783	1.017	memory	study	study	n/a	task-memory/obj301thimble.png	n/a	n/a
50.834	1.017	memory	study	study	n/a	task-memory/obj265shoe.png	n/a	n/a
52.868	1.017	memory	study	study	n/a	task-memory/obj231pumpkin.png	n/a	n/a
