onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.815	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.787	3.442	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	1
44.312	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.301	2.233	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	2
73.826	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	3
84.815	3.981	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	3
103.34	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	4
114.329	3.856	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	4
132.854	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	5
143.842	3.315	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	5
162.368	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	6
173.356	2.956	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	6
191.882	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	7
202.87	2.332	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	7
221.395	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	8
232.384	2.007	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	8
250.909	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	9
261.898	2.484	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	9
280.423	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	10
291.412	3.745	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	10
309.937	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	11
320.925	0.007	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	11
339.451	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	12
350.439	0.002	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	12
368.965	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	13
379.953	0.002	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/8p_question.txt	13
398.478	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	14
409.467	0.009	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	14
427.992	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.981	0.003	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.506	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.495	2.6	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.02	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	17
498.008	0.007	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/3p_question.txt	17
516.534	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	18
527.522	0.003	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/3b_question.txt	18
546.048	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.036	0.002	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	19
575.561	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.55	0.009	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/2b_question.txt	20
