onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
4.822	54.294	narrative_presentation	n/a	n/a	Deliverance	prison	Audio	task-narratives/Narrative7Situation1.mp3
59.116	2.333	rating_feeling	751	527	Deliverance	prison	Audio	n/a
60.466	0.983	feeling_mouse_trajectory	751	527	Deliverance	prison	Audio	n/a
63.161	0.337	rating_expectation	960	707	Deliverance	prison	Audio	n/a
63.527	-0.03	expectation_mouse_trajectory	960	707	Deliverance	prison	Audio	n/a
70.363	5.943	narrative_presentation	n/a	n/a	Adultery	prison	Audio	task-narratives/Narrative7Situation2.mp3
76.306	3.967	rating_feeling	884	450	Adultery	prison	Audio	n/a
77.489	2.783	feeling_mouse_trajectory	884	450	Adultery	prison	Audio	n/a
80.347	3.235	rating_expectation	768	497	Adultery	prison	Audio	n/a
80.381	3.202	expectation_mouse_trajectory	768	497	Adultery	prison	Audio	n/a
92.42	7.449	narrative_presentation	n/a	n/a	Pursuit	prison	Audio	task-narratives/Narrative7Situation3.mp3
99.869	3.756	rating_feeling	885	327	Pursuit	prison	Audio	n/a
101.052	2.573	feeling_mouse_trajectory	885	327	Pursuit	prison	Audio	n/a
103.91	3.605	rating_expectation	1017	421	Pursuit	prison	Audio	n/a
104.793	2.722	expectation_mouse_trajectory	1017	421	Pursuit	prison	Audio	n/a
110.996	11.476	narrative_presentation	n/a	n/a	Conflict with a god	park	Audio	task-narratives/Narrative7Situation4.mp3
122.472	2.151	rating_feeling	834	479	Conflict with a god	park	Audio	n/a
122.822	1.801	feeling_mouse_trajectory	834	479	Conflict with a god	park	Audio	n/a
126.498	3.602	rating_expectation	1048	427	Conflict with a god	park	Audio	n/a
127.581	2.519	expectation_mouse_trajectory	1048	427	Conflict with a god	park	Audio	n/a
135.574	7.985	narrative_presentation	n/a	n/a	Recovery of a lost one	park	Audio	task-narratives/Narrative7Situation5.mp3
143.559	2.54	rating_feeling	732	537	Recovery of a lost one	park	Audio	n/a
144.142	1.957	feeling_mouse_trajectory	732	537	Recovery of a lost one	park	Audio	n/a
147.595	3.005	rating_expectation	858	454	Recovery of a lost one	park	Audio	n/a
148.562	2.039	expectation_mouse_trajectory	858	454	Recovery of a lost one	park	Audio	n/a
154.695	8.774	narrative_presentation	n/a	n/a	Supplication	park	Audio	task-narratives/Narrative7Situation6.mp3
163.47	2.501	rating_feeling	907	466	Supplication	park	Audio	n/a
164.136	1.834	feeling_mouse_trajectory	907	466	Supplication	park	Audio	n/a
167.496	2.868	rating_expectation	782	473	Supplication	park	Audio	n/a
168.546	1.818	expectation_mouse_trajectory	782	473	Supplication	park	Audio	n/a
176.568	16.662	narrative_presentation	n/a	n/a	Involuntary crimes of love	hospital	Audio	task-narratives/Narrative7Situation7.mp3
193.23	2.238	rating_feeling	688	408	Involuntary crimes of love	hospital	Audio	n/a
193.68	1.788	feeling_mouse_trajectory	688	408	Involuntary crimes of love	hospital	Audio	n/a
197.26	3.533	rating_expectation	887	517	Involuntary crimes of love	hospital	Audio	n/a
197.71	3.083	expectation_mouse_trajectory	887	517	Involuntary crimes of love	hospital	Audio	n/a
203.313	8.775	narrative_presentation	n/a	n/a	An enemy loved	hospital	Audio	task-narratives/Narrative7Situation8.mp3
212.088	2.618	rating_feeling	798	495	An enemy loved	hospital	Audio	n/a
212.638	2.068	feeling_mouse_trajectory	798	495	An enemy loved	hospital	Audio	n/a
216.113	2.685	rating_expectation	886	526	An enemy loved	hospital	Audio	n/a
217.013	1.785	expectation_mouse_trajectory	886	526	An enemy loved	hospital	Audio	n/a
222.168	7.976	narrative_presentation	n/a	n/a	Ambition	hospital	Audio	task-narratives/Narrative7Situation9.mp3
230.145	2.774	rating_feeling	1100	492	Ambition	hospital	Audio	n/a
230.678	2.241	feeling_mouse_trajectory	1100	492	Ambition	hospital	Audio	n/a
234.177	2.79	rating_expectation	1075	489	Ambition	hospital	Audio	n/a
235.877	1.09	expectation_mouse_trajectory	1075	489	Ambition	hospital	Audio	n/a
243.26	15.313	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	town	Audio	task-narratives/Narrative8Situation1.mp3
258.572	3.168	rating_feeling	775	430	Necessity of sacrificing loved ones	town	Audio	n/a
259.139	2.601	feeling_mouse_trajectory	775	430	Necessity of sacrificing loved ones	town	Audio	n/a
262.597	3.535	rating_expectation	736	388	Necessity of sacrificing loved ones	town	Audio	n/a
262.697	3.435	expectation_mouse_trajectory	736	388	Necessity of sacrificing loved ones	town	Audio	n/a
269.652	8.767	narrative_presentation	n/a	n/a	Abduction	town	Audio	task-narratives/Narrative8Situation2.mp3
278.419	1.823	rating_feeling	720	469	Abduction	town	Audio	n/a
278.819	1.423	feeling_mouse_trajectory	720	469	Abduction	town	Audio	n/a
282.443	2.622	rating_expectation	824	494	Abduction	town	Audio	n/a
283.526	1.538	expectation_mouse_trajectory	824	494	Abduction	town	Audio	n/a
290.513	22.146	narrative_presentation	n/a	n/a	Adultery	town	Audio	task-narratives/Narrative8Situation3.mp3
312.659	2.018	rating_feeling	828	566	Adultery	town	Audio	n/a
313.242	1.434	feeling_mouse_trajectory	828	566	Adultery	town	Audio	n/a
316.684	3.075	rating_expectation	863	563	Adultery	town	Audio	n/a
317.801	1.959	expectation_mouse_trajectory	863	563	Adultery	town	Audio	n/a
323.74	12.595	narrative_presentation	n/a	n/a	Obtaining	city	Audio	task-narratives/Narrative8Situation4.mp3
336.336	3.95	rating_feeling	954	370	Obtaining	city	Audio	n/a
337.486	2.8	feeling_mouse_trajectory	954	370	Obtaining	city	Audio	n/a
340.36	3.968	rating_expectation	1049	531	Obtaining	city	Audio	n/a
340.393	3.935	expectation_mouse_trajectory	1049	531	Obtaining	city	Audio	n/a
346.414	6.61	narrative_presentation	n/a	n/a	Supplication	city	Audio	task-narratives/Narrative8Situation5.mp3
353.025	2.835	rating_feeling	775	454	Supplication	city	Audio	n/a
353.608	2.251	feeling_mouse_trajectory	775	454	Supplication	city	Audio	n/a
357.05	2.418	rating_expectation	839	531	Supplication	city	Audio	n/a
358.0	1.468	expectation_mouse_trajectory	839	531	Supplication	city	Audio	n/a
363.105	5.982	narrative_presentation	n/a	n/a	Rivalry of kin	city	Audio	task-narratives/Narrative8Situation6.mp3
369.087	2.356	rating_feeling	1148	630	Rivalry of kin	city	Audio	n/a
369.97	1.473	feeling_mouse_trajectory	1148	630	Rivalry of kin	city	Audio	n/a
373.109	2.838	rating_expectation	1004	472	Rivalry of kin	city	Audio	n/a
374.476	1.471	expectation_mouse_trajectory	1004	472	Rivalry of kin	city	Audio	n/a
