onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.824	3.125	cue	n/a	n/a	mentalizing	remember	n/a
5.949	5.228	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
11.261	4.617	rating	19.16	Moderate	mentalizing	remember	n/a
12.527	3.35	rating_mouse_trajectory	19.16	Moderate	mentalizing	remember	n/a
16.367	5.559	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
21.981	2.218	rating	27.62	Moderate	mentalizing	remember	n/a
22.815	1.384	rating_mouse_trajectory	27.62	Moderate	mentalizing	remember	n/a
27.057	5.502	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
32.618	3.541	rating	0.0	No sensation	mentalizing	remember	n/a
33.652	2.508	rating_mouse_trajectory	0.0	No sensation	mentalizing	remember	n/a
37.637	3.154	cue	n/a	n/a	likeability	n/a	n/a
40.791	5.552	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
46.407	2.336	rating	0.0	No sensation	likeability	n/a	n/a
46.907	1.836	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
51.517	5.011	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
56.611	2.968	rating	5.78	Weak	likeability	n/a	n/a
57.544	2.035	rating_mouse_trajectory	5.78	Weak	likeability	n/a	n/a
61.719	5.046	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
66.831	1.034	rating	0.0	No sensation	likeability	n/a	n/a
67.015	0.851	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
71.85	3.189	cue	n/a	n/a	mentalizing	danger	n/a
75.038	5.115	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
80.22	4.19	rating	95.34	Very strong	mentalizing	danger	n/a
82.07	2.34	rating_mouse_trajectory	95.34	Very strong	mentalizing	danger	n/a
85.302	5.305	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
90.69	0.919	rating	3.91	Weak	mentalizing	danger	n/a
90.99	0.619	rating_mouse_trajectory	3.91	Weak	mentalizing	danger	n/a
95.801	6.344	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
102.211	1.451	rating	135.98	Strongest possible	mentalizing	danger	n/a
102.911	0.751	rating_mouse_trajectory	135.98	Strongest possible	mentalizing	danger	n/a
107.23	3.108	cue	n/a	n/a	likeability	n/a	n/a
110.337	5.505	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
115.9	1.367	rating	4.61	Weak	likeability	n/a	n/a
116.316	0.951	rating_mouse_trajectory	4.61	Weak	likeability	n/a	n/a
121.01	4.082	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
125.153	1.539	rating	2.62	Barely detectable	likeability	n/a	n/a
125.536	1.156	rating_mouse_trajectory	2.62	Barely detectable	likeability	n/a	n/a
130.263	6.347	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
136.691	2.585	rating	25.84	Moderate	likeability	n/a	n/a
137.257	2.019	rating_mouse_trajectory	25.84	Moderate	likeability	n/a	n/a
141.726	3.198	cue	n/a	n/a	similarity	n/a	n/a
144.924	5.105	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
150.096	2.835	rating	0.69	Barely detectable	similarity	n/a	n/a
150.562	2.368	rating_mouse_trajectory	0.69	Barely detectable	similarity	n/a	n/a
155.249	6.677	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
162.0	3.163	rating	0.0	No sensation	similarity	n/a	n/a
162.567	2.597	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
167.096	6.842	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
174.005	2.805	rating	3.41	Weak	similarity	n/a	n/a
175.371	1.438	rating_mouse_trajectory	3.41	Weak	similarity	n/a	n/a
179.023	3.146	cue	n/a	n/a	likeability	n/a	n/a
182.17	6.124	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
188.36	2.368	rating	11.58	Moderate	likeability	n/a	n/a
189.243	1.484	rating_mouse_trajectory	11.58	Moderate	likeability	n/a	n/a
193.461	5.837	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
199.364	2.601	rating	1.43	Barely detectable	likeability	n/a	n/a
200.197	1.768	rating_mouse_trajectory	1.43	Barely detectable	likeability	n/a	n/a
204.478	5.173	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
209.718	2.125	rating	12.84	Moderate	likeability	n/a	n/a
210.401	1.441	rating_mouse_trajectory	12.84	Moderate	likeability	n/a	n/a
214.753	3.141	cue	n/a	n/a	similarity	n/a	n/a
217.894	5.565	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
223.523	1.903	rating	0.0	No sensation	similarity	n/a	n/a
224.756	0.67	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
228.589	5.388	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
234.044	1.117	rating	0.92	Barely detectable	similarity	n/a	n/a
234.527	0.634	rating_mouse_trajectory	0.92	Barely detectable	similarity	n/a	n/a
239.148	5.194	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
244.397	1.651	rating	0.0	No sensation	similarity	n/a	n/a
244.864	1.184	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
249.416	3.149	cue	n/a	n/a	likeability	n/a	n/a
252.565	5.56	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
258.186	1.923	rating	2.56	Barely detectable	likeability	n/a	n/a
259.086	1.023	rating_mouse_trajectory	2.56	Barely detectable	likeability	n/a	n/a
263.316	5.11	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
268.49	1.486	rating	1.86	Barely detectable	likeability	n/a	n/a
268.823	1.153	rating_mouse_trajectory	1.86	Barely detectable	likeability	n/a	n/a
273.578	6.198	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
279.844	2.051	rating	2.3	Barely detectable	likeability	n/a	n/a
280.861	1.034	rating_mouse_trajectory	2.3	Barely detectable	likeability	n/a	n/a
284.863	3.139	cue	n/a	n/a	similarity	n/a	n/a
288.002	5.047	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
293.116	1.334	rating	0.46	Barely detectable	similarity	n/a	n/a
293.732	0.717	rating_mouse_trajectory	0.46	Barely detectable	similarity	n/a	n/a
298.205	5.004	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
303.269	3.756	rating	7.9	Weak	similarity	n/a	n/a
304.786	2.24	rating_mouse_trajectory	7.9	Weak	similarity	n/a	n/a
308.347	5.229	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
313.64	3.336	rating	12.3	Moderate	similarity	n/a	n/a
314.707	2.269	rating_mouse_trajectory	12.3	Moderate	similarity	n/a	n/a
318.658	3.153	cue	n/a	n/a	mentalizing	tired	n/a
321.812	5.0	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
326.878	3.101	rating	4.13	Weak	mentalizing	tired	n/a
328.612	1.368	rating_mouse_trajectory	4.13	Weak	mentalizing	tired	n/a
331.961	6.189	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
338.199	2.277	rating	3.48	Weak	mentalizing	tired	n/a
339.232	1.243	rating_mouse_trajectory	3.48	Weak	mentalizing	tired	n/a
343.316	5.56	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
348.936	2.456	rating	5.05	Weak	mentalizing	tired	n/a
349.536	1.856	rating_mouse_trajectory	5.05	Weak	mentalizing	tired	n/a
353.955	3.15	cue	n/a	n/a	similarity	n/a	n/a
357.105	6.121	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
363.292	3.451	rating	15.17	Moderate	similarity	n/a	n/a
364.092	2.651	rating_mouse_trajectory	15.17	Moderate	similarity	n/a	n/a
368.375	5.504	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
373.946	1.517	rating	8.85	Weak	similarity	n/a	n/a
374.512	0.951	rating_mouse_trajectory	8.85	Weak	similarity	n/a	n/a
379.065	5.011	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
384.133	2.577	rating	26.88	Moderate	similarity	n/a	n/a
384.916	1.793	rating_mouse_trajectory	26.88	Moderate	similarity	n/a	n/a
389.151	3.146	cue	n/a	n/a	likeability	n/a	n/a
392.297	5.179	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
397.538	0.388	rating	90.0	Very strong	likeability	n/a	n/a
n/a	n/a	rating_mouse_trajectory	90.0	Very strong	likeability	n/a	n/a
402.644	6.832	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
409.542	2.618	rating	16.74	Moderate	likeability	n/a	n/a
409.759	2.401	rating_mouse_trajectory	16.74	Moderate	likeability	n/a	n/a
414.614	5.799	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
420.48	2.385	rating	41.55	Strong	likeability	n/a	n/a
421.18	1.685	rating_mouse_trajectory	41.55	Strong	likeability	n/a	n/a
425.515	3.134	cue	n/a	n/a	mentalizing	heights	n/a
428.649	5.827	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
