onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.804	1.342	face	n/a	intensity	disgust	female	WC	young	task-faces/4Disgust_Model4_1Female_1WC_1Young.mp4
5.147	1.833	rating	0.5085	intensity	disgust	female	WC	young	n/a
5.997	0.983	rating_mouse_trajectory	0.5085	intensity	disgust	female	WC	young	n/a
7.07	1.328	face	n/a	intensity	anger	female	WC	old	task-faces/5Anger_Model2_1Female_1WC_2Old.mp4
8.398	0.75	rating	0.6501	intensity	anger	female	WC	old	n/a
8.765	0.383	rating_mouse_trajectory	0.6501	intensity	anger	female	WC	old	n/a
10.316	1.333	face	n/a	intensity	disgust	male	WC	old	task-faces/4Disgust_Model1_2Male_1WC_2Old.mp4
11.649	1.102	rating	0.2617	intensity	disgust	male	WC	old	n/a
12.033	0.718	rating_mouse_trajectory	0.2617	intensity	disgust	male	WC	old	n/a
14.557	1.327	face	n/a	intensity	anger	female	African	old	task-faces/5Anger_Model4_1Female_3African_2Old.mp4
15.884	0.985	rating	0.551	intensity	anger	female	African	old	n/a
16.368	0.502	rating_mouse_trajectory	0.551	intensity	anger	female	African	old	n/a
17.795	1.34	face	n/a	intensity	surprise	male	African	young	task-faces/2Surprise_Model2_2Male_3African_1Young.mp4
19.135	1.25	rating	0.1052	intensity	surprise	male	African	young	n/a
19.435	0.95	rating_mouse_trajectory	0.1052	intensity	surprise	male	African	young	n/a
25.066	1.305	face	n/a	intensity	sad	male	WC	young	task-faces/6Sad_Model4_2Male_1WC_1Young.mp4
26.371	1.156	rating	0.0939	intensity	sad	male	WC	young	n/a
26.788	0.74	rating_mouse_trajectory	0.0939	intensity	sad	male	WC	young	n/a
28.295	1.328	face	n/a	intensity	fear	male	EA	young	task-faces/3Fear_Model5_2Male_2EA_1Young.mp4
29.623	1.122	rating	0.3345	intensity	fear	male	EA	young	n/a
30.106	0.638	rating_mouse_trajectory	0.3345	intensity	fear	male	EA	young	n/a
31.549	1.308	face	n/a	intensity	fear	male	African	old	task-faces/3Fear_Model3_2Male_3African_2Old.mp4
32.857	1.787	rating	0.106	intensity	fear	male	African	old	n/a
33.307	1.337	rating_mouse_trajectory	0.106	intensity	fear	male	African	old	n/a
34.78	1.312	face	n/a	intensity	surprise	male	EA	young	task-faces/2Surprise_Model3_2Male_2EA_1Young.mp4
36.092	1.403	rating	0.3952	intensity	surprise	male	EA	young	n/a
36.592	0.903	rating_mouse_trajectory	0.3952	intensity	surprise	male	EA	young	n/a
37.996	1.313	face	n/a	intensity	anger	male	EA	young	task-faces/5Anger_Model4_2Male_2EA_1Young.mp4
39.31	1.168	rating	0.2172	intensity	anger	male	EA	young	n/a
39.876	0.602	rating_mouse_trajectory	0.2172	intensity	anger	male	EA	young	n/a
43.216	2.045	face	n/a	intensity	pleasure	female	WC	young	task-faces/8Pleasure_Model2_1Female_1WC_1Young.mp4
45.262	1.051	rating	0.3528	intensity	pleasure	female	WC	young	n/a
45.745	0.568	rating_mouse_trajectory	0.3528	intensity	pleasure	female	WC	young	n/a
48.183	1.314	face	n/a	intensity	happy	male	African	old	task-faces/1Happy_Model2_2Male_3African_2Old.mp4
49.497	1.035	rating	0.5692	intensity	happy	male	African	old	n/a
50.047	0.485	rating_mouse_trajectory	0.5692	intensity	happy	male	African	old	n/a
53.416	1.316	face	n/a	intensity	happy	male	WC	young	task-faces/1Happy_Model4_2Male_1WC_1Young.mp4
54.732	1.662	rating	0.7755	intensity	happy	male	WC	young	n/a
55.149	1.246	rating_mouse_trajectory	0.7755	intensity	happy	male	WC	young	n/a
57.638	1.312	face	n/a	intensity	disgust	male	WC	young	task-faces/4Disgust_Model1_2Male_1WC_1Young.mp4
58.95	1.785	rating	0.2638	intensity	disgust	male	WC	young	n/a
59.334	1.402	rating_mouse_trajectory	0.2638	intensity	disgust	male	WC	young	n/a
61.866	1.303	face	n/a	intensity	fear	female	EA	young	task-faces/3Fear_Model5_1Female_2EA_1Young.mp4
63.168	1.009	rating	0.3608	intensity	fear	female	EA	young	n/a
63.735	0.442	rating_mouse_trajectory	0.3608	intensity	fear	female	EA	young	n/a
66.092	1.312	face	n/a	intensity	disgust	female	EA	young	task-faces/4Disgust_Model3_1Female_2EA_1Young.mp4
67.403	1.541	rating	0.3143	intensity	disgust	female	EA	young	n/a
67.97	0.974	rating_mouse_trajectory	0.3143	intensity	disgust	female	EA	young	n/a
70.333	1.305	face	n/a	intensity	disgust	male	African	young	task-faces/4Disgust_Model3_2Male_3African_1Young.mp4
71.638	0.922	rating	0.5227	intensity	disgust	male	African	young	n/a
71.972	0.589	rating_mouse_trajectory	0.5227	intensity	disgust	male	African	young	n/a
74.562	1.311	face	n/a	intensity	sad	female	WC	young	task-faces/6Sad_Model3_1Female_1WC_1Young.mp4
75.873	1.504	rating	0.0898	intensity	sad	female	WC	young	n/a
76.24	1.138	rating_mouse_trajectory	0.0898	intensity	sad	female	WC	young	n/a
80.797	2.045	face	n/a	intensity	pain	female	African	young	task-faces/7Pain_Model2_1Female_3African_1Young.mp4
82.842	1.402	rating	0.642	intensity	pain	female	African	young	n/a
