onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.803	3.111	cue	n/a	n/a	mentalizing	remember	n/a
5.914	5.226	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
11.223	4.967	rating	47.4	Strong	mentalizing	remember	n/a
11.973	4.217	rating_mouse_trajectory	47.4	Strong	mentalizing	remember	n/a
16.331	5.567	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
21.96	2.621	rating	19.32	Moderate	mentalizing	remember	n/a
22.794	1.787	rating_mouse_trajectory	19.32	Moderate	mentalizing	remember	n/a
27.036	5.495	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
32.598	2.551	rating	47.43	Strong	mentalizing	remember	n/a
33.048	2.101	rating_mouse_trajectory	47.43	Strong	mentalizing	remember	n/a
37.616	3.139	cue	n/a	n/a	likeability	n/a	n/a
40.755	6.115	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
46.936	3.085	rating	62.3	Strong	likeability	n/a	n/a
47.02	3.001	rating_mouse_trajectory	62.3	Strong	likeability	n/a	n/a
52.034	5.831	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
57.941	1.758	rating	12.08	Moderate	likeability	n/a	n/a
58.507	1.191	rating_mouse_trajectory	12.08	Moderate	likeability	n/a	n/a
63.068	5.163	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
68.294	3.354	rating	19.78	Moderate	likeability	n/a	n/a
68.478	3.171	rating_mouse_trajectory	19.78	Moderate	likeability	n/a	n/a
73.313	3.147	cue	n/a	n/a	similarity	n/a	n/a
76.46	6.34	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
82.866	1.935	rating	25.95	Moderate	similarity	n/a	n/a
