onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.809	1.339	face	n/a	intensity	disgust	female	WC	young	task-faces/4Disgust_Model4_1Female_1WC_1Young.mp4
5.148	1.683	rating	0.5105	intensity	disgust	female	WC	young	n/a
6.015	0.817	rating_mouse_trajectory	0.5105	intensity	disgust	female	WC	young	n/a
7.071	1.311	face	n/a	intensity	anger	female	WC	old	task-faces/5Anger_Model2_1Female_1WC_2Old.mp4
8.382	1.083	rating	0.2779	intensity	anger	female	WC	old	n/a
9.032	0.433	rating_mouse_trajectory	0.2779	intensity	anger	female	WC	old	n/a
10.301	1.316	face	n/a	intensity	disgust	male	WC	old	task-faces/4Disgust_Model1_2Male_1WC_2Old.mp4
11.617	1.183	rating	0.6703	intensity	disgust	male	WC	old	n/a
11.75	1.05	rating_mouse_trajectory	0.6703	intensity	disgust	male	WC	old	n/a
14.535	1.316	face	n/a	intensity	anger	female	African	old	task-faces/5Anger_Model4_1Female_3African_2Old.mp4
15.852	1.533	rating	0.6339	intensity	anger	female	African	old	n/a
16.302	1.083	rating_mouse_trajectory	0.6339	intensity	anger	female	African	old	n/a
17.763	1.323	face	n/a	intensity	surprise	male	African	young	task-faces/2Surprise_Model2_2Male_3African_1Young.mp4
19.086	0.5	rating	0.5287	intensity	surprise	male	African	young	n/a
19.503	0.083	rating_mouse_trajectory	0.5287	intensity	surprise	male	African	young	n/a
25.001	1.305	face	n/a	intensity	sad	male	WC	young	task-faces/6Sad_Model4_2Male_1WC_1Young.mp4
26.306	1.683	rating	0.2435	intensity	sad	male	WC	young	n/a
27.172	0.817	rating_mouse_trajectory	0.2435	intensity	sad	male	WC	young	n/a
28.228	1.312	face	n/a	intensity	fear	male	EA	young	task-faces/3Fear_Model5_2Male_2EA_1Young.mp4
29.54	1.467	rating	0.5793	intensity	fear	male	EA	young	n/a
29.724	1.283	rating_mouse_trajectory	0.5793	intensity	fear	male	EA	young	n/a
31.463	1.312	face	n/a	intensity	fear	male	African	old	task-faces/3Fear_Model3_2Male_3African_2Old.mp4
32.775	0.667	rating	0.6986	intensity	fear	male	African	old	n/a
32.842	0.6	rating_mouse_trajectory	0.6986	intensity	fear	male	African	old	n/a
