onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.805	3.172	cue	n/a	n/a	similarity	n/a	n/a
5.977	5.548	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
11.608	2.935	rating	17.03	Moderate	similarity	n/a	n/a
12.208	2.335	rating_mouse_trajectory	17.03	Moderate	similarity	n/a	n/a
16.692	5.397	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
22.146	2.285	rating	6.21	Weak	similarity	n/a	n/a
22.596	1.835	rating_mouse_trajectory	6.21	Weak	similarity	n/a	n/a
27.254	5.185	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
32.516	1.684	rating	9.31	Weak	similarity	n/a	n/a
32.999	1.201	rating_mouse_trajectory	9.31	Weak	similarity	n/a	n/a
37.551	3.143	cue	n/a	n/a	likeability	n/a	n/a
40.694	4.995	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
45.754	4.469	rating	19.4	Moderate	likeability	n/a	n/a
46.504	3.719	rating_mouse_trajectory	19.4	Moderate	likeability	n/a	n/a
50.869	5.324	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
56.275	3.185	rating	83.41	Very strong	likeability	n/a	n/a
56.942	2.518	rating_mouse_trajectory	83.41	Very strong	likeability	n/a	n/a
61.351	5.395	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
66.812	2.585	rating	64.51	Very strong	likeability	n/a	n/a
67.462	1.935	rating_mouse_trajectory	64.51	Very strong	likeability	n/a	n/a
71.831	3.123	cue	n/a	n/a	mentalizing	remember	n/a
74.954	5.502	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
80.517	4.35	rating	10.22	Moderate	mentalizing	remember	n/a
82.601	2.267	rating_mouse_trajectory	10.22	Moderate	mentalizing	remember	n/a
85.63	5.559	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
91.255	3.168	rating	8.07	Weak	mentalizing	remember	n/a
92.888	1.535	rating_mouse_trajectory	8.07	Weak	mentalizing	remember	n/a
96.329	5.23	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
101.625	2.101	rating	8.82	Weak	mentalizing	remember	n/a
102.075	1.651	rating_mouse_trajectory	8.82	Weak	mentalizing	remember	n/a
106.644	3.14	cue	n/a	n/a	likeability	n/a	n/a
109.784	5.563	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
115.414	2.901	rating	27.19	Moderate	likeability	n/a	n/a
115.964	2.351	rating_mouse_trajectory	27.19	Moderate	likeability	n/a	n/a
120.531	5.02	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
125.618	3.155	rating	48.91	Strong	likeability	n/a	n/a
126.451	2.322	rating_mouse_trajectory	48.91	Strong	likeability	n/a	n/a
130.727	5.046	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
135.838	2.301	rating	37.26	Strong	likeability	n/a	n/a
136.438	1.701	rating_mouse_trajectory	37.26	Strong	likeability	n/a	n/a
140.873	3.129	cue	n/a	n/a	similarity	n/a	n/a
144.002	5.304	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
149.36	2.685	rating	30.34	Strong	similarity	n/a	n/a
149.926	2.118	rating_mouse_trajectory	30.34	Strong	similarity	n/a	n/a
154.445	6.194	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
160.714	3.859	rating	7.47	Weak	similarity	n/a	n/a
161.997	2.575	rating_mouse_trajectory	7.47	Weak	similarity	n/a	n/a
165.788	5.802	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
171.651	3.221	rating	93.58	Very strong	similarity	n/a	n/a
172.635	2.238	rating_mouse_trajectory	93.58	Very strong	similarity	n/a	n/a
176.687	3.151	cue	n/a	n/a	mentalizing	danger	n/a
