onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
8.157	0.2	posner	valid_cue	correct	left	n/a	n/a	1
8.374	0.536	posner	target_response	correct	left	left	left	1
13.343	0.2	posner	valid_cue	correct	right	n/a	n/a	2
13.543	0.437	posner	target_response	correct	right	right	right	2
20.812	0.2	posner	valid_cue	correct	left	n/a	n/a	3
21.012	0.437	posner	target_response	correct	left	left	left	3
28.281	0.2	posner	invalid_cue	correct	left	n/a	n/a	4
28.482	0.513	posner	target_response	correct	left	right	right	4
31.449	0.2	posner	valid_cue	correct	left	n/a	n/a	5
31.649	0.459	posner	target_response	correct	left	left	left	5
35.317	0.2	posner	invalid_cue	correct	right	n/a	n/a	6
35.518	0.538	posner	target_response	correct	right	left	left	6
38.885	0.2	posner	valid_cue	correct	left	n/a	n/a	7
39.086	0.511	posner	target_response	correct	left	left	left	7
42.253	0.2	posner	valid_cue	correct	right	n/a	n/a	8
42.453	0.396	posner	target_response	correct	right	right	right	8
46.121	0.2	posner	valid_cue	correct	right	n/a	n/a	9
46.322	0.403	posner	target_response	correct	right	right	right	9
53.591	0.2	posner	valid_cue	correct	left	n/a	n/a	10
53.791	0.616	posner	target_response	correct	left	left	left	10
56.759	0.2	posner	invalid_cue	correct	left	n/a	n/a	11
56.959	0.563	posner	target_response	correct	left	right	right	11
64.228	0.2	posner	invalid_cue	correct	left	n/a	n/a	12
64.428	0.527	posner	target_response	correct	left	right	right	12
67.396	0.2	posner	valid_cue	correct	right	n/a	n/a	13
67.596	0.491	posner	target_response	correct	right	right	right	13
70.664	0.2	posner	invalid_cue	correct	left	n/a	n/a	14
70.864	0.553	posner	target_response	correct	left	right	right	14
77.933	0.2	posner	valid_cue	correct	right	n/a	n/a	15
78.133	0.549	posner	target_response	correct	right	right	right	15
85.403	0.2	posner	invalid_cue	correct	right	n/a	n/a	16
85.603	0.559	posner	target_response	correct	right	left	left	16
89.271	0.2	posner	invalid_cue	correct	right	n/a	n/a	17
89.471	0.524	posner	target_response	correct	right	left	left	17
96.74	0.2	posner	invalid_cue	correct	right	n/a	n/a	18
96.94	0.543	posner	target_response	correct	right	left	left	18
104.21	0.2	posner	invalid_cue	correct	right	n/a	n/a	19
104.41	0.475	posner	target_response	correct	right	left	left	19
111.679	0.2	posner	valid_cue	correct	right	n/a	n/a	20
111.879	0.577	posner	target_response	correct	right	right	right	20
119.149	0.2	posner	invalid_cue	correct	right	n/a	n/a	21
119.349	0.478	posner	target_response	correct	right	left	left	21
122.917	0.2	posner	invalid_cue	correct	right	n/a	n/a	22
123.117	0.466	posner	target_response	correct	right	left	left	22
126.685	0.2	posner	valid_cue	correct	right	n/a	n/a	23
126.885	0.463	posner	target_response	correct	right	right	right	23
129.753	0.2	posner	invalid_cue	correct	left	n/a	n/a	24
129.953	0.555	posner	target_response	correct	left	right	right	24
136.822	0.2	posner	invalid_cue	correct	right	n/a	n/a	25
137.022	0.502	posner	target_response	correct	right	left	left	25
141.59	0.2	posner	valid_cue	correct	left	n/a	n/a	26
141.79	0.488	posner	target_response	correct	left	left	left	26
145.759	0.2	posner	valid_cue	correct	left	n/a	n/a	27
145.959	0.42	posner	target_response	correct	left	left	left	27
152.628	0.2	posner	invalid_cue	correct	right	n/a	n/a	28
152.828	0.472	posner	target_response	correct	right	left	left	28
156.096	0.2	posner	invalid_cue	correct	left	n/a	n/a	29
156.296	0.538	posner	target_response	correct	left	right	right	29
161.665	0.2	posner	invalid_cue	correct	right	n/a	n/a	30
161.865	0.448	posner	target_response	correct	right	left	left	30
165.133	0.2	posner	valid_cue	correct	left	n/a	n/a	31
165.333	0.378	posner	target_response	correct	left	left	left	31
168.4	0.2	posner	valid_cue	correct	left	n/a	n/a	32
168.6	0.39	posner	target_response	correct	left	left	left	32
173.469	0.2	posner	valid_cue	correct	right	n/a	n/a	33
173.669	0.437	posner	target_response	correct	right	right	right	33
180.638	0.2	posner	invalid_cue	correct	right	n/a	n/a	34
180.838	0.503	posner	target_response	correct	right	left	left	34
183.706	0.2	posner	invalid_cue	correct	right	n/a	n/a	35
183.906	0.496	posner	target_response	correct	right	left	left	35
