onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.995	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj029bomb.png	n/a	n/a
10.045	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj102finger.png	n/a	n/a
12.096	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj128hamburger.png	n/a	n/a
14.13	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj293table.png	n/a	n/a
16.181	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj249rooster.png	n/a	n/a
18.232	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj035box.png	n/a	n/a
20.266	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj143horse.png	n/a	n/a
22.3	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj013balloon.png	n/a	n/a
24.334	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj255sailor.png	n/a	n/a
26.368	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj291swing.png	n/a	n/a
28.402	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj135heart.png	n/a	n/a
30.436	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj181microphone.png	n/a	n/a
32.47	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj095envelope.png	n/a	n/a
34.504	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj167lightning.png	n/a	n/a
36.539	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj245rocket.png	n/a	n/a
38.573	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj334wheel.png	n/a	n/a
40.607	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj179match.png	n/a	n/a
42.641	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj262screw.png	n/a	n/a
44.675	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj054chain.png	n/a	n/a
46.709	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj306toilet.png	n/a	n/a
48.743	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj063city.png	n/a	n/a
50.777	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj166lightbulb.png	n/a	n/a
52.811	1.034	memory	study	study	n/a	task-fractional/runtype-memory/obj030bone.png	n/a	n/a
54.862	1.034	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj159knot.png	n/a	n/a
56.913	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj199onion.png	n/a	n/a
58.964	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj248roof.png	n/a	n/a
71.135	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.195	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.272	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.333	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.162	1.116	memory	test	test_old	correct	task-fractional/runtype-memory/obj255sailor.png	old	n/a
191.813	0.684	memory	test	test_new	correct	task-fractional/runtype-memory/obj236raccoon.png	new	n/a
194.598	0.847	memory	test	test_old	correct	task-fractional/runtype-memory/obj063city.png	old	n/a
197.299	0.644	memory	test	test_old	correct	task-fractional/runtype-memory/obj143horse.png	old	n/a
200.133	0.708	memory	test	test_old	correct	task-fractional/runtype-memory/obj334wheel.png	old	n/a
203.134	0.617	memory	test	test_new	correct	task-fractional/runtype-memory/obj243robot.png	new	n/a
205.752	0.96	memory	test	test_new	correct	task-fractional/runtype-memory/obj311train.png	new	n/a
208.469	0.485	memory	test	test_old	correct	task-fractional/runtype-memory/obj306toilet.png	old	n/a
211.12	0.613	memory	test	test_new	correct	task-fractional/runtype-memory/obj112fountain.png	new	n/a
213.938	0.481	memory	test	test_old	correct	task-fractional/runtype-memory/obj249rooster.png	old	n/a
216.906	0.735	memory	test	test_new	correct	task-fractional/runtype-memory/obj053cat.png	new	n/a
219.824	0.53	memory	test	test_old	correct	task-fractional/runtype-memory/obj293table.png	old	n/a
222.825	0.611	memory	test	test_old	correct	task-fractional/runtype-memory/obj262screw.png	old	n/a
225.709	0.609	memory	test	test_old	correct	task-fractional/runtype-memory/obj291swing.png	old	n/a
228.36	0.7	memory	test	test_new	correct	task-fractional/runtype-memory/obj068cork.png	new	n/a
230.994	0.671	memory	test	test_old	correct	task-fractional/runtype-memory/obj167lightning.png	old	n/a
233.629	0.747	memory	test	test_new	correct	task-fractional/runtype-memory/obj018barrel.png	new	n/a
236.48	0.761	memory	test	test_new	correct	task-fractional/runtype-memory/obj060chimney.png	new	n/a
239.264	0.739	memory	test	test_new	correct	task-fractional/runtype-memory/obj134hat.png	new	n/a
241.882	0.708	memory	test	test_new	incorrect	task-fractional/runtype-memory/obj032boot.png	old	n/a
244.666	0.772	memory	test	test_new	correct	task-fractional/runtype-memory/obj039bus.png	new	n/a
247.467	0.751	memory	test	test_new	incorrect	task-fractional/runtype-memory/obj173lock.png	old	n/a
250.352	0.632	memory	test	test_old	correct	task-fractional/runtype-memory/obj166lightbulb.png	old	n/a
253.286	0.763	memory	test	test_new	correct	task-fractional/runtype-memory/obj049cane.png	new	n/a
256.254	0.688	memory	test	test_old	correct	task-fractional/runtype-memory/obj035box.png	old	n/a
258.938	0.757	memory	test	test_old	correct	task-fractional/runtype-memory/obj179match.png	old	n/a
261.773	0.732	memory	test	test_new	correct	task-fractional/runtype-memory/obj195net.png	new	n/a
264.657	0.689	memory	test	test_new	incorrect	task-fractional/runtype-memory/obj085donkey.png	old	n/a
267.475	1.115	memory	test	test_new	correct	task-fractional/runtype-memory/obj223pirate.png	new	n/a
270.392	1.115	memory	test	test_old	incorrect	task-fractional/runtype-memory/obj054chain.png	new	n/a
273.06	0.821	memory	test	test_old	correct	task-fractional/runtype-memory/obj135heart.png	old	n/a
275.744	0.722	memory	test	test_new	correct	task-fractional/runtype-memory/obj146igloo.png	new	n/a
278.312	1.043	memory	test	test_new	incorrect	task-fractional/runtype-memory/obj105flag.png	old	n/a
281.23	0.738	memory	test	test_old	correct	task-fractional/runtype-memory/obj181microphone.png	old	n/a
284.214	0.679	memory	test	test_old	correct	task-fractional/runtype-memory/obj095envelope.png	old	n/a
286.865	0.714	memory	test	test_old	correct	task-fractional/runtype-memory/obj245rocket.png	old	n/a
289.483	0.912	memory	test	test_new	incorrect	task-fractional/runtype-memory/obj314truck.png	old	n/a
292.434	0.678	memory	test	test_old	correct	task-fractional/runtype-memory/obj030bone.png	old	n/a
295.135	0.821	memory	test	test_new	correct	task-fractional/runtype-memory/obj288strawberry.png	new	n/a
297.736	0.582	memory	test	test_old	correct	task-fractional/runtype-memory/obj013balloon.png	old	n/a
308.273	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj088drawer.png	n/a	n/a
310.307	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj138helmet.png	n/a	n/a
312.341	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj191mushroom.png	n/a	n/a
314.376	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj064clock.png	n/a	n/a
316.41	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj333whale.png	n/a	n/a
318.444	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj182microscope.png	n/a	n/a
320.478	1.034	memory	study	study	n/a	task-fractional/runtype-memory/obj081dinosaur.png	n/a	n/a
322.529	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj228porcupine.png	n/a	n/a
324.579	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj079desk.png	n/a	n/a
326.613	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj278snowman.png	n/a	n/a
328.664	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj171lizard.png	n/a	n/a
330.698	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj222pipe.png	n/a	n/a
332.732	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj118giraffe.png	n/a	n/a
334.766	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj089dress.png	n/a	n/a
336.801	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj341window.png	n/a	n/a
338.835	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj345wrench.png	n/a	n/a
