onset	duration	trial_type	response_value	stim_file
2.769	155.218	video	n/a	task-alignvideo/ses-01_run-02_order-01_content-harrymetsally.mp4
162.537	n/a	rating_relevance	n/a	n/a
167.556	n/a	rating_happy	n/a	n/a
172.591	n/a	rating_sad	n/a	n/a
177.626	n/a	rating_afraid	n/a	n/a
182.662	n/a	rating_disgusted	n/a	n/a
187.68	n/a	rating_warm	n/a	n/a
192.699	n/a	rating_engaged	n/a	n/a
193.236	57.101	video	n/a	task-alignvideo/ses-01_run-02_order-02_content-HB.mp4
254.872	n/a	rating_relevance	n/a	n/a
259.907	n/a	rating_happy	n/a	n/a
264.942	n/a	rating_sad	n/a	n/a
269.977	n/a	rating_afraid	n/a	n/a
275.013	n/a	rating_disgusted	n/a	n/a
280.031	n/a	rating_warm	n/a	n/a
285.05	n/a	rating_engaged	n/a	n/a
285.58	243.883	video	n/a	task-alignvideo/ses-01_run-02_order-03_content-islamophobia.mp4
534.009	n/a	rating_relevance	n/a	n/a
539.044	n/a	rating_happy	n/a	n/a
544.08	n/a	rating_sad	n/a	n/a
549.098	n/a	rating_afraid	n/a	n/a
554.133	n/a	rating_disgusted	n/a	n/a
559.169	n/a	rating_warm	n/a	n/a
564.187	n/a	rating_engaged	n/a	n/a
564.719	30.13	video	n/a	task-alignvideo/ses-01_run-02_order-04_content-beachsunset.mp4
599.4	n/a	rating_relevance	n/a	n/a
604.436	n/a	rating_happy	n/a	n/a
609.471	n/a	rating_sad	n/a	n/a
614.489	n/a	rating_afraid	n/a	n/a
619.524	n/a	rating_disgusted	n/a	n/a
624.56	n/a	rating_warm	n/a	n/a
629.595	n/a	rating_engaged	n/a	n/a
