onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.822	3.157	cue	n/a	n/a	similarity	n/a	n/a
5.978	6.352	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
12.425	1.383	rating	11.31	Moderate	similarity	n/a	n/a
13.142	0.667	rating_mouse_trajectory	11.31	Moderate	similarity	n/a	n/a
17.533	5.83	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
23.429	4.4	rating	16.36	Moderate	similarity	n/a	n/a
23.913	3.917	rating_mouse_trajectory	16.36	Moderate	similarity	n/a	n/a
28.557	5.173	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
33.8	3.167	rating	26.98	Moderate	similarity	n/a	n/a
34.183	2.783	rating_mouse_trajectory	26.98	Moderate	similarity	n/a	n/a
38.835	3.148	cue	n/a	n/a	mentalizing	remember	n/a
41.983	5.564	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
47.622	3.483	rating	35.03	Strong	mentalizing	remember	n/a
49.038	2.067	rating_mouse_trajectory	35.03	Strong	mentalizing	remember	n/a
52.705	5.509	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
58.292	4.7	rating	95.74	Very strong	mentalizing	remember	n/a
59.159	3.833	rating_mouse_trajectory	95.74	Very strong	mentalizing	remember	n/a
63.39	5.224	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
68.679	2.133	rating	3.95	Weak	mentalizing	remember	n/a
69.146	1.667	rating_mouse_trajectory	3.95	Weak	mentalizing	remember	n/a
73.698	3.122	cue	n/a	n/a	likeability	n/a	n/a
76.82	5.227	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
82.101	1.85	rating	10.3	Moderate	likeability	n/a	n/a
82.601	1.35	rating_mouse_trajectory	10.3	Moderate	likeability	n/a	n/a
87.252	6.67	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
93.989	3.233	rating	28.11	Moderate	likeability	n/a	n/a
94.756	2.467	rating_mouse_trajectory	28.11	Moderate	likeability	n/a	n/a
99.078	5.302	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
104.443	3.867	rating	5.83	Weak	likeability	n/a	n/a
105.343	2.967	rating_mouse_trajectory	5.83	Weak	likeability	n/a	n/a
109.478	3.161	cue	n/a	n/a	similarity	n/a	n/a
112.639	5.56	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
118.281	2.15	rating	29.47	Strong	similarity	n/a	n/a
118.665	1.767	rating_mouse_trajectory	29.47	Strong	similarity	n/a	n/a
123.402	4.082	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
127.551	2.4	rating	10.22	Moderate	similarity	n/a	n/a
128.051	1.9	rating_mouse_trajectory	10.22	Moderate	similarity	n/a	n/a
