onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.805	3.132	cue	n/a	n/a	likeability	n/a	n/a
5.938	5.509	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
11.542	2.504	rating	104.16	Strongest possible	likeability	n/a	n/a
12.225	1.821	rating_mouse_trajectory	104.16	Strongest possible	likeability	n/a	n/a
16.747	4.083	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
20.895	1.718	rating	119.37	Strongest possible	likeability	n/a	n/a
20.979	1.635	rating_mouse_trajectory	119.37	Strongest possible	likeability	n/a	n/a
26.027	6.356	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
32.45	1.201	rating	76.99	Very strong	likeability	n/a	n/a
32.633	1.017	rating_mouse_trajectory	76.99	Very strong	likeability	n/a	n/a
37.502	3.127	cue	n/a	n/a	mentalizing	remember	n/a
40.628	5.227	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
45.921	2.725	rating	82.91	Very strong	mentalizing	remember	n/a
46.688	1.958	rating_mouse_trajectory	82.91	Very strong	mentalizing	remember	n/a
51.001	5.512	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
56.575	2.938	rating	124.22	Strongest possible	mentalizing	remember	n/a
56.625	2.888	rating_mouse_trajectory	124.22	Strongest possible	mentalizing	remember	n/a
61.697	5.549	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
67.313	1.268	rating	141.0	Strongest possible	mentalizing	remember	n/a
67.713	0.868	rating_mouse_trajectory	141.0	Strongest possible	mentalizing	remember	n/a
72.348	3.135	cue	n/a	n/a	similarity	n/a	n/a
75.483	5.001	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
80.568	1.734	rating	81.03	Very strong	similarity	n/a	n/a
81.118	1.184	rating_mouse_trajectory	81.03	Very strong	similarity	n/a	n/a
85.647	5.225	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
90.938	1.201	rating	29.81	Strong	similarity	n/a	n/a
91.238	0.901	rating_mouse_trajectory	29.81	Strong	similarity	n/a	n/a
96.049	5.044	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
101.159	1.237	rating	19.39	Moderate	similarity	n/a	n/a
101.459	0.937	rating_mouse_trajectory	19.39	Moderate	similarity	n/a	n/a
106.194	3.141	cue	n/a	n/a	likeability	n/a	n/a
109.335	5.179	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
114.58	1.301	rating	40.53	Strong	likeability	n/a	n/a
115.08	0.801	rating_mouse_trajectory	40.53	Strong	likeability	n/a	n/a
119.661	5.802	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
125.518	2.451	rating	136.67	Strongest possible	likeability	n/a	n/a
126.484	1.484	rating_mouse_trajectory	136.67	Strongest possible	likeability	n/a	n/a
130.613	6.843	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
