onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.845	2.068	face	n/a	age	pain	female	African	young	task-faces/7Pain_Model2_1Female_3African_1Young.mp4
5.913	1.856	rating	0.2779	age	pain	female	African	young	n/a
6.613	1.156	rating_mouse_trajectory	0.2779	age	pain	female	African	young	n/a
7.974	1.324	face	n/a	age	fear	female	African	young	task-faces/3Fear_Model1_1Female_3African_1Young.mp4
9.298	1.571	rating	0.2941	age	fear	female	African	young	n/a
9.798	1.071	rating_mouse_trajectory	0.2941	age	fear	female	African	young	n/a
11.238	1.327	face	n/a	age	anger	female	WC	young	task-faces/5Anger_Model3_1Female_1WC_1Young.mp4
12.566	1.636	rating	0.1566	age	anger	female	WC	young	n/a
13.066	1.136	rating_mouse_trajectory	0.1566	age	anger	female	WC	young	n/a
15.505	1.329	face	n/a	age	happy	female	African	young	task-faces/1Happy_Model5_1Female_3African_1Young.mp4
16.834	1.868	rating	0.197	age	happy	female	African	young	n/a
17.351	1.352	rating_mouse_trajectory	0.197	age	happy	female	African	young	n/a
18.761	2.058	face	n/a	age	pleasure	male	African	young	task-faces/8Pleasure_Model4_2Male_3African_1Young.mp4
20.819	1.068	rating	0.5975	age	pleasure	male	African	young	n/a
20.869	1.018	rating_mouse_trajectory	0.5975	age	pleasure	male	African	young	n/a
26.757	1.314	face	n/a	age	anger	male	EA	young	task-faces/5Anger_Model4_2Male_2EA_1Young.mp4
28.071	1.618	rating	0.288	age	anger	male	EA	young	n/a
28.605	1.084	rating_mouse_trajectory	0.288	age	anger	male	EA	young	n/a
29.993	1.313	face	n/a	age	surprise	male	EA	young	task-faces/2Surprise_Model3_2Male_2EA_1Young.mp4
31.306	1.683	rating	0.1828	age	surprise	male	EA	young	n/a
31.839	1.15	rating_mouse_trajectory	0.1828	age	surprise	male	EA	young	n/a
33.222	1.319	face	n/a	age	surprise	male	WC	young	task-faces/2Surprise_Model2_2Male_1WC_1Young.mp4
34.541	1.151	rating	0.5267	age	surprise	male	WC	young	n/a
34.974	0.718	rating_mouse_trajectory	0.5267	age	surprise	male	WC	young	n/a
36.445	1.314	face	n/a	age	sad	female	African	old	task-faces/6Sad_Model5_1Female_3African_2Old.mp4
37.758	1.511	rating	0.82	age	sad	female	African	old	n/a
38.192	1.078	rating_mouse_trajectory	0.82	age	sad	female	African	old	n/a
39.663	1.313	face	n/a	age	disgust	male	WC	old	task-faces/4Disgust_Model1_2Male_1WC_2Old.mp4
40.976	1.151	rating	0.7714	age	disgust	male	WC	old	n/a
41.343	0.784	rating_mouse_trajectory	0.7714	age	disgust	male	WC	old	n/a
44.886	2.042	face	n/a	age	pain	male	African	old	task-faces/7Pain_Model3_2Male_3African_2Old.mp4
46.928	1.607	rating	0.8503	age	pain	male	African	old	n/a
47.512	1.024	rating_mouse_trajectory	0.8503	age	pain	male	African	old	n/a
49.856	2.041	face	n/a	age	pleasure	female	African	young	task-faces/8Pleasure_Model4_1Female_3African_1Young.mp4
51.897	1.122	rating	0.6218	age	pleasure	female	African	young	n/a
