onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.976	1.034	memory	dummy	study_dummy	n/a	task-memory/obj031book.png	n/a	n/a
10.026	1.034	memory	dummy	study_dummy	n/a	task-memory/obj038broom.png	n/a	n/a
12.094	1.017	memory	dummy	study_dummy	n/a	task-memory/obj102finger.png	n/a	n/a
14.145	1.017	memory	study	study	n/a	task-memory/obj005ant.png	n/a	n/a
16.195	1.017	memory	study	study	n/a	task-memory/obj294tank.png	n/a	n/a
18.246	1.017	memory	study	study	n/a	task-memory/obj017barbecue.png	n/a	n/a
20.28	1.017	memory	study	study	n/a	task-memory/obj284spoon.png	n/a	n/a
22.314	1.017	memory	study	study	n/a	task-memory/obj283spider.png	n/a	n/a
24.348	1.017	memory	study	study	n/a	task-memory/obj056cheese.png	n/a	n/a
26.383	1.017	memory	study	study	n/a	task-memory/obj011backpack.png	n/a	n/a
28.417	1.017	memory	study	study	n/a	task-memory/obj320umbrella.png	n/a	n/a
30.451	1.017	memory	study	study	n/a	task-memory/obj304tire.png	n/a	n/a
32.485	1.017	memory	study	study	n/a	task-memory/obj163leaf.png	n/a	n/a
34.519	1.017	memory	study	study	n/a	task-memory/obj110football.png	n/a	n/a
36.553	1.017	memory	study	study	n/a	task-memory/obj115funnel.png	n/a	n/a
38.587	1.017	memory	study	study	n/a	task-memory/obj013balloon.png	n/a	n/a
40.621	1.017	memory	study	study	n/a	task-memory/obj175mailbox.png	n/a	n/a
42.655	1.017	memory	study	study	n/a	task-memory/obj059chicken.png	n/a	n/a
44.689	1.017	memory	study	study	n/a	task-memory/obj281spaghetti.png	n/a	n/a
46.723	1.017	memory	study	study	n/a	task-memory/obj105flag.png	n/a	n/a
48.758	1.034	memory	study	study	n/a	task-memory/obj157knife.png	n/a	n/a
50.808	1.034	memory	study	study	n/a	task-memory/obj030bone.png	n/a	n/a
52.859	1.017	memory	study	study	n/a	task-memory/obj155king.png	n/a	n/a
54.91	1.017	memory	dummy	study_dummy	n/a	task-memory/obj312tree.png	n/a	n/a
56.944	1.017	memory	dummy	study_dummy	n/a	task-memory/obj316turkey.png	n/a	n/a
58.995	1.017	memory	dummy	study_dummy	n/a	task-memory/obj322unicycle.png	n/a	n/a
71.249	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.326	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.387	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.447	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.293	1.509	memory	test	test_new	incorrect	task-memory/obj116genie.png	old	n/a
192.244	1.679	memory	test	test_new	correct	task-memory/obj034bowl.png	new	n/a
195.329	1.323	memory	test	test_old	correct	task-memory/obj157knife.png	old	n/a
197.897	1.023	memory	test	test_new	correct	task-memory/obj237radio.png	new	n/a
200.781	1.073	memory	test	test_new	correct	task-memory/obj341window.png	new	n/a
203.599	1.138	memory	test	test_old	correct	task-memory/obj105flag.png	old	n/a
206.45	0.72	memory	test	test_old	correct	task-memory/obj059chicken.png	old	n/a
209.451	1.375	memory	test	test_new	correct	task-memory/obj049cane.png	new	n/a
212.169	2.0	memory	test	test_old	incorrect	task-memory/obj155king.png	n/a	n/a
215.136	1.295	memory	test	test_old	correct	task-memory/obj294tank.png	old	n/a
217.721	0.674	memory	test	test_old	correct	task-memory/obj163leaf.png	old	n/a
220.388	1.18	memory	test	test_new	correct	task-memory/obj097eye.png	new	n/a
223.189	0.753	memory	test	test_old	correct	task-memory/obj030bone.png	old	n/a
225.74	1.629	memory	test	test_new	correct	task-memory/obj235rabbit.png	new	n/a
228.775	0.904	memory	test	test_old	correct	task-memory/obj304tire.png	old	n/a
231.526	1.295	memory	test	test_new	correct	task-memory/obj064clock.png	new	n/a
234.46	0.801	memory	test	test_old	correct	task-memory/obj110football.png	old	n/a
237.395	1.244	memory	test	test_new	incorrect	task-memory/obj227plug.png	old	n/a
240.229	1.043	memory	test	test_new	correct	task-memory/obj236raccoon.png	new	n/a
242.83	1.261	memory	test	test_new	incorrect	task-memory/obj196nose.png	old	n/a
245.364	0.758	memory	test	test_new	correct	task-memory/obj118giraffe.png	new	n/a
248.249	1.263	memory	test	test_new	correct	task-memory/obj189mouse.png	new	n/a
