onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
95.479	2.062	face	n/a	sex	pain	female	African	old	task-faces/7Pain_Model5_1Female_3African_2Old.mp4
97.541	1.02	rating	0.0	sex	pain	female	African	old	n/a
97.641	0.92	rating_mouse_trajectory	0.0	sex	pain	female	African	old	n/a
100.465	1.311	face	n/a	sex	anger	male	EA	old	task-faces/5Anger_Model2_2Male_2EA_2Old.mp4
101.776	1.068	rating	0.0	sex	anger	male	EA	old	n/a
102.126	0.718	rating_mouse_trajectory	0.0	sex	anger	male	EA	old	n/a
104.682	1.311	face	n/a	sex	disgust	male	WC	young	task-faces/4Disgust_Model3_2Male_1WC_1Young.mp4
105.994	0.719	rating	0.002	sex	disgust	male	WC	young	n/a
106.26	0.452	rating_mouse_trajectory	0.002	sex	disgust	male	WC	young	n/a
108.9	2.045	face	n/a	sex	pleasure	male	EA	old	task-faces/8Pleasure_Model5_2Male_2EA_2Old.mp4
110.946	0.601	rating	0.0	sex	pleasure	male	EA	old	n/a
110.996	0.551	rating_mouse_trajectory	0.0	sex	pleasure	male	EA	old	n/a
112.865	1.315	face	n/a	sex	sad	female	EA	young	task-faces/6Sad_Model2_1Female_2EA_1Young.mp4
114.18	0.821	rating	0.0716	sex	sad	female	EA	young	n/a
114.33	0.671	rating_mouse_trajectory	0.0716	sex	sad	female	EA	young	n/a
116.103	2.045	face	n/a	sex	pain	female	WC	old	task-faces/7Pain_Model4_1Female_1WC_2Old.mp4
118.148	0.951	rating	0.0	sex	pain	female	WC	old	n/a
118.448	0.651	rating_mouse_trajectory	0.0	sex	pain	female	WC	old	n/a
120.056	1.31	face	n/a	sex	sad	male	EA	young	task-faces/6Sad_Model3_2Male_2EA_1Young.mp4
121.366	1.702	rating	0.0	sex	sad	male	EA	young	n/a
121.966	1.102	rating_mouse_trajectory	0.0	sex	sad	male	EA	young	n/a
124.286	1.316	face	n/a	sex	disgust	female	WC	old	task-faces/4Disgust_Model1_1Female_1WC_2Old.mp4
125.601	0.918	rating	0.0	sex	disgust	female	WC	old	n/a
125.901	0.618	rating_mouse_trajectory	0.0	sex	disgust	female	WC	old	n/a
128.508	2.045	face	n/a	sex	pleasure	female	African	young	task-faces/8Pleasure_Model1_1Female_3African_1Young.mp4
130.553	0.775	rating	0.0	sex	pleasure	female	African	young	n/a
130.903	0.425	rating_mouse_trajectory	0.0	sex	pleasure	female	African	young	n/a
133.477	2.045	face	n/a	sex	pain	female	EA	old	task-faces/7Pain_Model2_1Female_2EA_2Old.mp4
135.522	1.472	rating	0.2678	sex	pain	female	EA	old	n/a
