onset	duration	subtask_type	event_type	value	response_accuracy	stim_file
12.0328500175476	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/3b_story.txt
100.565973033905	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/10b_story.txt
159.58805560112	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/1b_story.txt
218.626811494827	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/7b_story.txt
248.137853136063	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/5b_story.txt
336.670975198746	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/4b_story.txt
395.693059196472	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/9b_story.txt
425.204099884033	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/8b_story.txt
513.737224092484	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/6b_story.txt
572.759305944443	11.0	tomsaxe	stimulus	falsebelief		task-tomsaxe/2b_story.txt
41.5438907051086	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/3p_story.txt
71.0549318695068	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/10p_story.txt
130.077013721466	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/1p_story.txt
189.115770092011	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/7p_story.txt
277.648894062042	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/5p_story.txt
307.159934988022	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/4p_story.txt
366.182016601563	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/9p_story.txt
454.715141048431	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/8p_story.txt
484.226183166504	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/6p_story.txt
543.264937868118	11.0	tomsaxe	stimulus	falsephoto		task-tomsaxe/2p_story.txt
23.0202927494049	3.51496529579163	tomsaxe	response	falsebelief	correct	tomsaxe/3b_question.txt
111.553416719437	2.78542518615723	tomsaxe	response	falsebelief	correct	tomsaxe/10b_question.txt
170.592172613144	3.80081129074097	tomsaxe	response	falsebelief	correct	tomsaxe/1b_question.txt
229.614255180359	4.81066966056824	tomsaxe	response	falsebelief	incorrect	tomsaxe/7b_question.txt
259.125295629501	2.94532132148743	tomsaxe	response	falsebelief	correct	tomsaxe/5b_question.txt
347.658419599533	3.44412541389465	tomsaxe	response	falsebelief	correct	tomsaxe/4b_question.txt
406.680502643585	3.01273632049561	tomsaxe	response	falsebelief	correct	tomsaxe/9b_question.txt
436.191543807983	3.70527505874634	tomsaxe	response	falsebelief	correct	tomsaxe/8b_question.txt
524.724668254852	3.86488962173462	tomsaxe	response	falsebelief	correct	tomsaxe/6b_question.txt
583.746749868393	3.4477710723877	tomsaxe	response	falsebelief	correct	tomsaxe/2b_question.txt
52.531335105896	4.68697881698608	tomsaxe	response	falsephoto	correct	tomsaxe/3p_question.txt
82.0423760318756	3.28001093864441	tomsaxe	response	falsephoto	correct	tomsaxe/10p_question.txt
141.064459075928	4.19849586486816	tomsaxe	response	falsephoto	correct	tomsaxe/1p_question.txt
200.103213539124	2.45477342605591	tomsaxe	response	falsephoto	correct	tomsaxe/7p_question.txt
288.636338224411	2.62885475158691	tomsaxe	response	falsephoto	correct	tomsaxe/5p_question.txt
318.147378911972	3.33075594902039	tomsaxe	response	falsephoto	correct	tomsaxe/4p_question.txt
377.16946100235	3.27593898773193	tomsaxe	response	falsephoto	correct	tomsaxe/9p_question.txt
465.702584018707	2.69587898254395	tomsaxe	response	falsephoto	correct	tomsaxe/8p_question.txt
495.213625898361	3.81819009780884	tomsaxe	response	falsephoto	correct	tomsaxe/6p_question.txt
554.235708703995	4.40283823013306	tomsaxe	response	falsephoto	correct	tomsaxe/2p_question.txt
