onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.804	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.775	3.182	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	1
44.315	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.286	2.488	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	2
73.81	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	3
84.797	4.065	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	3
103.321	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	4
114.308	3.463	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	4
132.832	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	5
143.819	3.253	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	5
162.343	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	6
173.33	4.125	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	6
191.854	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	7
202.841	5.292	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	7
221.365	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	8
232.352	3.432	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	8
250.876	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	9
261.863	4.17	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	9
280.387	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	10
291.374	6.004	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	10
309.931	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	11
320.919	3.889	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	11
339.442	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	12
350.43	3.278	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	12
368.953	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	13
379.941	3.044	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	13
398.464	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	14
409.452	4.322	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	14
427.975	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.963	3.284	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.486	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.474	2.834	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
486.997	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	17
497.985	3.475	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	17
516.509	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	18
527.496	3.223	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	18
546.02	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.024	6.147	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.714	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.718	4.634	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
