onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
8.169	0.2	posner	invalid_cue	correct	left	n/a	n/a	1
8.385	0.496	posner	target_response	correct	left	right	right	1
12.587	0.2	posner	valid_cue	correct	right	n/a	n/a	2
12.787	0.498	posner	target_response	correct	right	right	right	2
20.073	0.2	posner	valid_cue	correct	right	n/a	n/a	3
20.273	0.466	posner	target_response	correct	right	right	right	3
27.559	0.2	posner	valid_cue	correct	right	n/a	n/a	4
27.759	0.454	posner	target_response	correct	right	right	right	4
30.727	0.2	posner	invalid_cue	correct	right	n/a	n/a	5
30.927	0.478	posner	target_response	correct	right	left	left	5
34.612	0.2	posner	valid_cue	correct	left	n/a	n/a	6
34.812	0.385	posner	target_response	correct	left	left	left	6
38.18	0.2	posner	valid_cue	correct	right	n/a	n/a	7
38.38	0.462	posner	target_response	correct	right	right	right	7
41.548	0.2	posner	invalid_cue	correct	left	n/a	n/a	8
41.748	0.483	posner	target_response	correct	left	right	right	8
45.416	0.2	posner	invalid_cue	correct	right	n/a	n/a	9
45.616	0.521	posner	target_response	correct	right	left	left	9
52.885	0.2	posner	valid_cue	correct	right	n/a	n/a	10
53.085	0.426	posner	target_response	correct	right	right	right	10
56.053	0.2	posner	invalid_cue	correct	left	n/a	n/a	11
56.253	0.516	posner	target_response	correct	left	right	right	11
63.523	0.2	posner	valid_cue	correct	left	n/a	n/a	12
63.723	0.415	posner	target_response	correct	left	left	left	12
66.69	0.2	posner	invalid_cue	correct	right	n/a	n/a	13
66.891	0.446	posner	target_response	correct	right	left	left	13
69.958	0.2	posner	valid_cue	correct	right	n/a	n/a	14
70.158	0.356	posner	target_response	correct	right	right	right	14
77.228	0.2	posner	invalid_cue	correct	right	n/a	n/a	15
77.428	0.393	posner	target_response	correct	right	left	left	15
84.697	0.2	posner	invalid_cue	correct	right	n/a	n/a	16
84.897	0.374	posner	target_response	correct	right	left	left	16
88.565	0.2	posner	invalid_cue	correct	right	n/a	n/a	17
88.765	0.354	posner	target_response	correct	right	left	left	17
96.018	0.2	posner	valid_cue	correct	right	n/a	n/a	18
96.218	0.37	posner	target_response	correct	right	right	right	18
104.388	0.2	posner	invalid_cue	correct	left	n/a	n/a	19
104.588	0.463	posner	target_response	correct	left	right	right	19
110.957	0.2	posner	invalid_cue	correct	right	n/a	n/a	20
111.157	0.415	posner	target_response	correct	right	left	left	20
118.426	0.2	posner	invalid_cue	correct	right	n/a	n/a	21
118.627	0.356	posner	target_response	correct	right	left	left	21
122.195	0.2	posner	valid_cue	correct	right	n/a	n/a	22
122.395	0.443	posner	target_response	correct	right	right	right	22
125.963	0.2	posner	invalid_cue	correct	left	n/a	n/a	23
126.163	0.383	posner	target_response	correct	left	right	right	23
129.03	0.2	posner	valid_cue	correct	right	n/a	n/a	24
129.231	0.338	posner	target_response	correct	right	right	right	24
136.1	0.2	posner	invalid_cue	correct	left	n/a	n/a	25
136.3	0.37	posner	target_response	correct	left	right	right	25
140.868	0.2	posner	invalid_cue	correct	right	n/a	n/a	26
141.068	0.359	posner	target_response	correct	right	left	left	26
145.036	0.2	posner	invalid_cue	correct	right	n/a	n/a	27
145.237	0.405	posner	target_response	correct	right	left	left	27
152.806	0.2	posner	invalid_cue	correct	right	n/a	n/a	28
153.006	0.4	posner	target_response	correct	right	left	left	28
156.274	0.2	posner	invalid_cue	correct	left	n/a	n/a	29
156.474	0.42	posner	target_response	correct	left	right	right	29
161.843	0.2	posner	valid_cue	correct	left	n/a	n/a	30
162.043	0.371	posner	target_response	correct	left	left	left	30
165.311	0.2	posner	valid_cue	correct	left	n/a	n/a	31
165.511	0.343	posner	target_response	correct	left	left	left	31
168.579	0.2	posner	valid_cue	correct	left	n/a	n/a	32
168.779	0.352	posner	target_response	correct	left	left	left	32
172.747	0.2	posner	valid_cue	correct	left	n/a	n/a	33
172.947	0.326	posner	target_response	correct	left	left	left	33
179.916	0.2	posner	valid_cue	correct	right	n/a	n/a	34
180.116	0.388	posner	target_response	correct	right	right	right	34
182.984	0.2	posner	invalid_cue	correct	left	n/a	n/a	35
183.184	0.443	posner	target_response	correct	left	right	right	35
186.452	0.2	posner	invalid_cue	correct	left	n/a	n/a	36
186.652	0.381	posner	target_response	correct	left	right	right	36
189.42	0.2	posner	valid_cue	correct	right	n/a	n/a	37
189.62	0.366	posner	target_response	correct	right	right	right	37
194.988	0.2	posner	invalid_cue	correct	right	n/a	n/a	38
195.189	0.352	posner	target_response	correct	right	left	left	38
202.458	0.2	posner	valid_cue	correct	right	n/a	n/a	39
202.658	0.402	posner	target_response	correct	right	right	right	39
209.327	0.2	posner	valid_cue	correct	left	n/a	n/a	40
209.527	0.336	posner	target_response	correct	left	left	left	40
213.495	0.2	posner	valid_cue	correct	right	n/a	n/a	41
213.695	0.346	posner	target_response	correct	right	right	right	41
219.864	0.2	posner	valid_cue	correct	left	n/a	n/a	42
220.065	0.403	posner	target_response	correct	left	left	left	42
227.334	0.2	posner	invalid_cue	correct	right	n/a	n/a	43
