onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.835	1.332	face	n/a	sex	surprise	female	African	old	task-faces/2Surprise_Model4_1Female_3African_2Old.mp4
5.167	1.689	rating	0.0	sex	surprise	female	African	old	n/a
5.367	1.489	rating_mouse_trajectory	0.0	sex	surprise	female	African	old	n/a
7.162	1.306	face	n/a	sex	disgust	male	EA	young	task-faces/4Disgust_Model4_2Male_2EA_1Young.mp4
8.468	1.005	rating	0.0	sex	disgust	male	EA	young	n/a
8.785	0.688	rating_mouse_trajectory	0.0	sex	disgust	male	EA	young	n/a
10.41	1.309	face	n/a	sex	sad	female	WC	young	task-faces/6Sad_Model4_1Female_1WC_1Young.mp4
11.719	0.903	rating	0.6359	sex	sad	female	WC	young	n/a
12.053	0.57	rating_mouse_trajectory	0.6359	sex	sad	female	WC	young	n/a
14.643	2.044	face	n/a	sex	pleasure	male	EA	old	task-faces/8Pleasure_Model5_2Male_2EA_2Old.mp4
16.688	0.751	rating	0.0	sex	pleasure	male	EA	old	n/a
17.038	0.401	rating_mouse_trajectory	0.0	sex	pleasure	male	EA	old	n/a
18.611	2.062	face	n/a	sex	pain	male	EA	young	task-faces/7Pain_Model1_2Male_2EA_1Young.mp4
20.673	0.785	rating	0.2132	sex	pain	male	EA	young	n/a
20.723	0.735	rating_mouse_trajectory	0.2132	sex	pain	male	EA	young	n/a
26.613	2.046	face	n/a	sex	pleasure	female	African	young	task-faces/8Pleasure_Model1_1Female_3African_1Young.mp4
28.659	0.968	rating	0.2091	sex	pleasure	female	African	young	n/a
29.126	0.502	rating_mouse_trajectory	0.2091	sex	pleasure	female	African	young	n/a
30.564	1.312	face	n/a	sex	surprise	female	EA	young	task-faces/2Surprise_Model5_1Female_2EA_1Young.mp4
31.877	0.912	rating	0.7775	sex	surprise	female	EA	young	n/a
32.277	0.512	rating_mouse_trajectory	0.7775	sex	surprise	female	EA	young	n/a
33.783	1.311	face	n/a	sex	disgust	female	African	old	task-faces/4Disgust_Model5_1Female_3African_2Old.mp4
35.095	0.844	rating	0.0392	sex	disgust	female	African	old	n/a
35.511	0.427	rating_mouse_trajectory	0.0392	sex	disgust	female	African	old	n/a
37.001	1.312	face	n/a	sex	fear	female	African	young	task-faces/3Fear_Model2_1Female_3African_1Young.mp4
38.313	1.168	rating	0.3447	sex	fear	female	African	young	n/a
38.829	0.651	rating_mouse_trajectory	0.3447	sex	fear	female	African	young	n/a
40.226	2.038	face	n/a	sex	pain	female	EA	old	task-faces/7Pain_Model2_1Female_2EA_2Old.mp4
42.264	0.775	rating	0.0	sex	pain	female	EA	old	n/a
42.531	0.508	rating_mouse_trajectory	0.0	sex	pain	female	EA	old	n/a
46.188	1.312	face	n/a	sex	fear	female	WC	young	task-faces/3Fear_Model5_1Female_1WC_1Young.mp4
47.499	0.923	rating	0.555	sex	fear	female	WC	young	n/a
47.983	0.439	rating_mouse_trajectory	0.555	sex	fear	female	WC	young	n/a
50.423	1.311	face	n/a	sex	happy	female	EA	young	task-faces/1Happy_Model5_1Female_2EA_1Young.mp4
51.734	1.104	rating	1.0	sex	happy	female	EA	young	n/a
52.084	0.754	rating_mouse_trajectory	1.0	sex	happy	female	EA	young	n/a
55.659	2.045	face	n/a	sex	pain	female	African	old	task-faces/7Pain_Model5_1Female_3African_2Old.mp4
57.703	0.885	rating	0.7431	sex	pain	female	African	old	n/a
58.153	0.435	rating_mouse_trajectory	0.7431	sex	pain	female	African	old	n/a
60.611	1.31	face	n/a	sex	disgust	female	African	young	task-faces/4Disgust_Model5_1Female_3African_1Young.mp4
