onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.969	1.034	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj006apple.png	n/a	n/a
10.037	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj010baby.png	n/a	n/a
12.087	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj035box.png	n/a	n/a
14.122	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj338whistle.png	n/a	n/a
16.156	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj262screw.png	n/a	n/a
18.19	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj171lizard.png	n/a	n/a
20.224	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj058chest.png	n/a	n/a
22.258	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj180medal.png	n/a	n/a
24.292	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj344worm.png	n/a	n/a
26.326	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj029bomb.png	n/a	n/a
28.36	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj246rockingchair.png	n/a	n/a
30.394	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj112fountain.png	n/a	n/a
32.428	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj342wing.png	n/a	n/a
34.462	1.034	memory	study	study	n/a	task-fractional/runtype-memory/obj135heart.png	n/a	n/a
36.513	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj003alligator.png	n/a	n/a
38.547	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj113fox.png	n/a	n/a
40.598	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj284spoon.png	n/a	n/a
42.649	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj236raccoon.png	n/a	n/a
44.7	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj337whip.png	n/a	n/a
46.734	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj028boat.png	n/a	n/a
48.768	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj026bird.png	n/a	n/a
50.802	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj258saxophone.png	n/a	n/a
52.836	1.017	memory	study	study	n/a	task-fractional/runtype-memory/obj217piano.png	n/a	n/a
54.87	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj068cork.png	n/a	n/a
56.904	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj263seahorse.png	n/a	n/a
58.938	1.017	memory	dummy	study_dummy	n/a	task-fractional/runtype-memory/obj294tank.png	n/a	n/a
71.193	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.287	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.347	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.408	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.053	1.373	memory	test	test_old	incorrect	task-fractional/runtype-memory/obj113fox.png	new	n/a
191.621	0.857	memory	test	test_old	correct	task-fractional/runtype-memory/obj028boat.png	old	n/a
194.389	1.117	memory	test	test_new	correct	task-fractional/runtype-memory/obj167lightning.png	new	n/a
196.956	0.801	memory	test	test_new	correct	task-fractional/runtype-memory/obj232purse.png	new	n/a
199.791	0.82	memory	test	test_new	correct	task-fractional/runtype-memory/obj223pirate.png	new	n/a
202.609	0.757	memory	test	test_old	correct	task-fractional/runtype-memory/obj258saxophone.png	old	n/a
205.376	0.757	memory	test	test_old	correct	task-fractional/runtype-memory/obj003alligator.png	old	n/a
208.027	0.804	memory	test	test_old	correct	task-fractional/runtype-memory/obj262screw.png	old	n/a
210.762	1.16	memory	test	test_old	correct	task-fractional/runtype-memory/obj342wing.png	old	n/a
213.429	0.781	memory	test	test_new	correct	task-fractional/runtype-memory/obj188mountain.png	new	n/a
215.963	1.057	memory	test	test_new	correct	task-fractional/runtype-memory/obj052carrot.png	new	n/a
218.765	1.018	memory	test	test_new	correct	task-fractional/runtype-memory/obj247rollerskate.png	new	n/a
221.682	0.709	memory	test	test_old	correct	task-fractional/runtype-memory/obj135heart.png	old	n/a
224.283	0.642	memory	test	test_old	correct	task-fractional/runtype-memory/obj026bird.png	old	n/a
227.068	0.784	memory	test	test_new	correct	task-fractional/runtype-memory/obj200orange.png	new	n/a
229.985	0.77	memory	test	test_old	correct	task-fractional/runtype-memory/obj217piano.png	old	n/a
232.803	1.299	memory	test	test_new	correct	task-fractional/runtype-memory/obj009asparagus.png	new	n/a
235.804	0.709	memory	test	test_new	correct	task-fractional/runtype-memory/obj042cactus.png	new	n/a
238.489	0.768	memory	test	test_old	correct	task-fractional/runtype-memory/obj337whip.png	old	n/a
241.506	2.0	memory	test	test_new	correct	task-fractional/runtype-memory/obj214pencil.png	n/a	n/a
244.174	0.82	memory	test	test_new	correct	task-fractional/runtype-memory/obj034bowl.png	new	n/a
246.808	0.784	memory	test	test_old	correct	task-fractional/runtype-memory/obj029bomb.png	old	n/a
249.409	0.884	memory	test	test_old	correct	task-fractional/runtype-memory/obj112fountain.png	old	n/a
