onset	duration	trial_type	response_value	stim_file
2.765	47.372	video	n/a	task-alignvideo/ses-02_run-04_order-01_content-forestfire.mp4
54.696	n/a	rating_relevance	n/a	n/a
59.731	n/a	rating_happy	n/a	n/a
64.766	n/a	rating_sad	n/a	n/a
69.801	n/a	rating_afraid	n/a	n/a
74.853	n/a	rating_disgusted	n/a	n/a
79.889	n/a	rating_warm	n/a	n/a
84.907	n/a	rating_engaged	n/a	n/a
85.44	47.814	video	n/a	task-alignvideo/ses-02_run-04_order-02_content-iceblock.mp4
137.827	n/a	rating_relevance	n/a	n/a
142.862	n/a	rating_happy	n/a	n/a
147.897	n/a	rating_sad	n/a	n/a
152.916	n/a	rating_afraid	n/a	n/a
157.951	n/a	rating_disgusted	n/a	n/a
162.986	n/a	rating_warm	n/a	n/a
168.021	n/a	rating_engaged	n/a	n/a
168.552	146.124	video	n/a	task-alignvideo/ses-02_run-04_order-03_content-alwaysafamily.mp4
319.211	n/a	rating_relevance	n/a	n/a
324.23	n/a	rating_happy	n/a	n/a
329.248	n/a	rating_sad	n/a	n/a
334.283	n/a	rating_afraid	n/a	n/a
339.319	n/a	rating_disgusted	n/a	n/a
344.354	n/a	rating_warm	n/a	n/a
349.372	n/a	rating_engaged	n/a	n/a
349.913	33.04	video	n/a	task-alignvideo/ses-02_run-04_order-04_content-visswar.mp4
387.503	n/a	rating_relevance	n/a	n/a
392.538	n/a	rating_happy	n/a	n/a
397.557	n/a	rating_sad	n/a	n/a
402.592	n/a	rating_afraid	n/a	n/a
407.627	n/a	rating_disgusted	n/a	n/a
412.646	n/a	rating_warm	n/a	n/a
417.665	n/a	rating_engaged	n/a	n/a
