onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
7.093	0.2	posner	valid_cue	correct	right	n/a	n/a	1
7.309	0.763	posner	target_response	correct	right	right	right	1
10.794	0.2	posner	invalid_cue	correct	right	n/a	n/a	2
10.994	0.736	posner	target_response	correct	right	left	left	2
13.895	0.2	posner	valid_cue	correct	left	n/a	n/a	3
14.095	0.649	posner	target_response	correct	left	left	left	3
17.096	0.2	posner	valid_cue	correct	right	n/a	n/a	4
17.296	0.653	posner	target_response	correct	right	right	right	4
20.381	0.2	posner	valid_cue	correct	left	n/a	n/a	5
20.581	0.605	posner	target_response	correct	left	left	left	5
23.899	0.2	posner	valid_cue	correct	left	n/a	n/a	6
24.099	0.568	posner	target_response	correct	left	left	left	6
31.368	0.2	posner	invalid_cue	correct	left	n/a	n/a	7
31.568	0.661	posner	target_response	correct	left	right	right	7
36.537	0.2	posner	valid_cue	correct	left	n/a	n/a	8
36.737	0.583	posner	target_response	correct	left	left	left	8
39.605	0.2	posner	valid_cue	correct	left	n/a	n/a	9
39.805	0.696	posner	target_response	correct	left	left	left	9
47.074	0.2	posner	invalid_cue	correct	left	n/a	n/a	10
47.274	0.652	posner	target_response	correct	left	right	right	10
50.742	0.2	posner	invalid_cue	correct	right	n/a	n/a	11
50.942	0.689	posner	target_response	correct	right	left	left	11
54.91	0.2	posner	valid_cue	correct	right	n/a	n/a	12
55.11	0.608	posner	target_response	correct	right	right	right	12
62.38	0.2	posner	invalid_cue	correct	right	n/a	n/a	13
62.58	0.734	posner	target_response	correct	right	left	left	13
65.448	0.2	posner	invalid_cue	correct	right	n/a	n/a	14
65.648	0.695	posner	target_response	correct	right	left	left	14
68.615	0.2	posner	invalid_cue	correct	left	n/a	n/a	15
68.816	0.629	posner	target_response	correct	left	right	right	15
71.683	0.2	posner	valid_cue	correct	left	n/a	n/a	16
71.883	0.744	posner	target_response	correct	left	left	left	16
75.852	0.2	posner	valid_cue	correct	right	n/a	n/a	17
76.052	0.644	posner	target_response	correct	right	right	right	17
78.919	0.2	posner	valid_cue	correct	right	n/a	n/a	18
79.119	0.568	posner	target_response	correct	right	right	right	18
86.389	0.2	posner	valid_cue	correct	left	n/a	n/a	19
86.589	0.685	posner	target_response	correct	left	left	left	19
93.858	0.2	posner	invalid_cue	correct	left	n/a	n/a	20
94.058	0.67	posner	target_response	correct	left	right	right	20
97.226	0.2	posner	valid_cue	correct	left	n/a	n/a	21
97.426	0.731	posner	target_response	correct	left	left	left	21
100.394	0.2	posner	valid_cue	correct	right	n/a	n/a	22
100.594	0.641	posner	target_response	correct	right	right	right	22
103.462	0.2	posner	valid_cue	correct	right	n/a	n/a	23
103.662	0.685	posner	target_response	correct	right	right	right	23
110.931	0.2	posner	valid_cue	correct	right	n/a	n/a	24
111.131	0.7	posner	target_response	correct	right	right	right	24
115.7	0.2	posner	invalid_cue	correct	left	n/a	n/a	25
115.9	0.718	posner	target_response	correct	left	right	right	25
123.169	0.2	posner	valid_cue	correct	left	n/a	n/a	26
123.369	0.641	posner	target_response	correct	left	left	left	26
129.138	0.2	posner	invalid_cue	correct	left	n/a	n/a	27
129.338	0.699	posner	target_response	correct	left	right	right	27
136.608	0.2	posner	invalid_cue	correct	left	n/a	n/a	28
136.808	0.712	posner	target_response	correct	left	right	right	28
140.576	0.2	posner	valid_cue	correct	left	n/a	n/a	29
140.776	0.636	posner	target_response	correct	left	left	left	29
144.444	0.2	posner	valid_cue	correct	left	n/a	n/a	30
144.644	0.6	posner	target_response	correct	left	left	left	30
150.113	0.2	posner	valid_cue	correct	right	n/a	n/a	31
150.313	0.598	posner	target_response	correct	right	right	right	31
157.582	0.2	posner	invalid_cue	correct	left	n/a	n/a	32
157.782	0.722	posner	target_response	correct	left	right	right	32
161.75	0.2	posner	invalid_cue	correct	left	n/a	n/a	33
161.95	0.644	posner	target_response	correct	left	right	right	33
165.718	0.2	posner	invalid_cue	correct	left	n/a	n/a	34
165.918	0.647	posner	target_response	correct	left	right	right	34
173.388	0.2	posner	invalid_cue	correct	right	n/a	n/a	35
173.588	0.761	posner	target_response	correct	right	left	left	35
181.057	0.2	posner	invalid_cue	correct	right	n/a	n/a	36
181.257	0.88	posner	target_response	correct	right	left	left	36
189.627	0.2	posner	invalid_cue	correct	left	n/a	n/a	37
189.827	0.741	posner	target_response	correct	left	right	right	37
193.595	0.2	posner	valid_cue	correct	left	n/a	n/a	38
193.796	0.723	posner	target_response	correct	left	left	left	38
201.065	0.2	posner	invalid_cue	correct	right	n/a	n/a	39
201.265	0.77	posner	target_response	correct	right	left	left	39
204.433	0.2	posner	invalid_cue	correct	right	n/a	n/a	40
204.633	0.805	posner	target_response	correct	right	left	left	40
208.601	0.2	posner	invalid_cue	correct	left	n/a	n/a	41
208.801	0.778	posner	target_response	correct	left	right	right	41
214.07	0.2	posner	valid_cue	correct	left	n/a	n/a	42
214.27	0.719	posner	target_response	correct	left	left	left	42
218.038	0.2	posner	valid_cue	correct	right	n/a	n/a	43
218.238	0.569	posner	target_response	correct	right	right	right	43
222.006	0.2	posner	invalid_cue	correct	left	n/a	n/a	44
222.206	0.693	posner	target_response	correct	left	right	right	44
225.074	0.2	posner	invalid_cue	correct	left	n/a	n/a	45
225.274	0.664	posner	target_response	correct	left	right	right	45
228.142	0.2	posner	invalid_cue	correct	left	n/a	n/a	46
228.342	0.564	posner	target_response	correct	left	right	right	46
233.81	0.2	posner	invalid_cue	correct	right	n/a	n/a	47
234.011	0.809	posner	target_response	correct	right	left	left	47
241.28	0.2	posner	valid_cue	correct	right	n/a	n/a	48
241.48	0.627	posner	target_response	correct	right	right	right	48
246.949	0.2	posner	valid_cue	correct	left	n/a	n/a	49
247.149	0.67	posner	target_response	correct	left	left	left	49
252.217	0.2	posner	valid_cue	correct	left	n/a	n/a	50
252.417	0.685	posner	target_response	correct	left	left	left	50
256.986	0.2	posner	valid_cue	correct	right	n/a	n/a	51
257.186	0.854	posner	target_response	correct	right	right	right	51
261.854	0.2	posner	valid_cue	correct	right	n/a	n/a	52
262.054	0.624	posner	target_response	correct	right	right	right	52
269.324	0.2	posner	invalid_cue	correct	left	n/a	n/a	53
269.524	0.676	posner	target_response	correct	left	right	right	53
273.492	0.2	posner	valid_cue	correct	right	n/a	n/a	54
273.692	0.695	posner	target_response	correct	right	right	right	54
277.16	0.2	posner	invalid_cue	correct	right	n/a	n/a	55
277.36	0.694	posner	target_response	correct	right	left	left	55
280.228	0.2	posner	invalid_cue	correct	right	n/a	n/a	56
280.428	0.618	posner	target_response	correct	right	left	left	56
283.696	0.2	posner	valid_cue	correct	right	n/a	n/a	57
283.896	0.555	posner	target_response	correct	right	right	right	57
287.264	0.2	posner	invalid_cue	correct	left	n/a	n/a	58
287.464	0.624	posner	target_response	correct	left	right	right	58
290.632	0.2	posner	valid_cue	correct	right	n/a	n/a	59
290.832	0.613	posner	target_response	correct	right	right	right	59
297.301	0.2	posner	invalid_cue	correct	left	n/a	n/a	60
297.501	0.736	posner	target_response	correct	left	right	right	60
304.47	0.2	posner	valid_cue	correct	left	n/a	n/a	61
304.67	0.743	posner	target_response	correct	left	left	left	61
308.138	0.2	posner	valid_cue	correct	left	n/a	n/a	62
308.338	0.653	posner	target_response	correct	left	left	left	62
312.106	0.2	posner	invalid_cue	correct	left	n/a	n/a	63
312.306	0.657	posner	target_response	correct	left	right	right	63
315.774	0.2	posner	invalid_cue	correct	right	n/a	n/a	64
315.974	0.765	posner	target_response	correct	right	left	left	64
322.944	0.2	posner	invalid_cue	correct	left	n/a	n/a	65
323.144	0.601	posner	target_response	correct	left	right	right	65
326.412	0.2	posner	valid_cue	correct	left	n/a	n/a	66
326.612	0.658	posner	target_response	correct	left	left	left	66
329.98	0.2	posner	invalid_cue	correct	right	n/a	n/a	67
330.18	0.701	posner	target_response	correct	right	left	left	67
333.648	0.2	posner	valid_cue	correct	right	n/a	n/a	68
333.848	0.799	posner	target_response	correct	right	right	right	68
340.517	0.2	posner	invalid_cue	correct	left	n/a	n/a	69
