onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.958	1.017	memory	dummy	study_dummy	n/a	task-memory/obj023belt.png	n/a	n/a
9.992	1.017	memory	dummy	study_dummy	n/a	task-memory/obj202package.png	n/a	n/a
12.026	1.017	memory	dummy	study_dummy	n/a	task-memory/obj247rollerskate.png	n/a	n/a
14.06	1.017	memory	study	study	n/a	task-memory/obj283spider.png	n/a	n/a
16.094	1.017	memory	study	study	n/a	task-memory/obj054chain.png	n/a	n/a
18.129	1.017	memory	study	study	n/a	task-memory/obj219pillow.png	n/a	n/a
20.163	1.017	memory	study	study	n/a	task-memory/obj282spatula.png	n/a	n/a
22.197	1.017	memory	study	study	n/a	task-memory/obj099faucet.png	n/a	n/a
24.231	1.017	memory	study	study	n/a	task-memory/obj209paperclip.png	n/a	n/a
26.265	1.017	memory	study	study	n/a	task-memory/obj302tie.png	n/a	n/a
28.299	1.017	memory	study	study	n/a	task-memory/obj176man.png	n/a	n/a
30.333	1.017	memory	study	study	n/a	task-memory/obj213pen.png	n/a	n/a
32.367	1.017	memory	study	study	n/a	task-memory/obj204palmtree.png	n/a	n/a
34.401	1.017	memory	study	study	n/a	task-memory/obj093egg.png	n/a	n/a
36.435	1.034	memory	study	study	n/a	task-memory/obj038broom.png	n/a	n/a
38.486	1.034	memory	study	study	n/a	task-memory/obj305toaster.png	n/a	n/a
40.537	1.017	memory	study	study	n/a	task-memory/obj264shark.png	n/a	n/a
42.588	1.017	memory	study	study	n/a	task-memory/obj224pitchfork.png	n/a	n/a
44.638	1.017	memory	study	study	n/a	task-memory/obj165leopard.png	n/a	n/a
46.689	1.017	memory	study	study	n/a	task-memory/obj143horse.png	n/a	n/a
48.723	1.017	memory	study	study	n/a	task-memory/obj158knight.png	n/a	n/a
50.757	1.017	memory	study	study	n/a	task-memory/obj320umbrella.png	n/a	n/a
52.792	1.017	memory	study	study	n/a	task-memory/obj330watch.png	n/a	n/a
54.826	1.017	memory	dummy	study_dummy	n/a	task-memory/obj251rose.png	n/a	n/a
56.86	1.017	memory	dummy	study_dummy	n/a	task-memory/obj275slingshot.png	n/a	n/a
58.894	1.017	memory	dummy	study_dummy	n/a	task-memory/obj278snowman.png	n/a	n/a
71.082	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.159	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.219	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.28	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.959	2.0	memory	test	test_new	correct	task-memory/obj084dolphin.png	n/a	n/a
191.843	2.0	memory	test	test_old	incorrect	task-memory/obj165leopard.png	n/a	n/a
194.678	2.0	memory	test	test_old	incorrect	task-memory/obj283spider.png	n/a	n/a
197.712	2.0	memory	test	test_old	incorrect	task-memory/obj209paperclip.png	n/a	n/a
200.48	1.107	memory	test	test_new	correct	task-memory/obj115funnel.png	new	n/a
203.181	2.0	memory	test	test_new	correct	task-memory/obj279sock.png	n/a	n/a
206.199	1.578	memory	test	test_new	correct	task-memory/obj292sword.png	new	n/a
208.933	2.0	memory	test	test_old	incorrect	task-memory/obj302tie.png	n/a	n/a
211.601	2.0	memory	test	test_old	incorrect	task-memory/obj204palmtree.png	n/a	n/a
