onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
5.025	0.963	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
6.292	0.968	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
7.576	1.178	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg
9.06	1.102	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
10.477	1.079	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
11.861	0.91	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
13.078	1.002	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
14.395	1.041	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
22.548	1.268	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
24.132	1.172	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
25.616	1.687	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
27.617	1.371	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
29.301	1.136	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
30.751	1.336	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
32.402	0.901	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg
33.619	1.269	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg
41.655	1.019	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
42.989	0.952	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
44.256	1.202	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
45.774	0.818	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
46.907	1.352	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
48.575	1.029	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
49.909	1.035	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
51.259	1.144	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
60.629	0.785	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
61.73	0.801	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
62.847	0.873	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
64.03	0.923	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg
65.264	0.869	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
66.448	0.906	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
67.665	0.838	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
68.816	1.105	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg
78.152	1.185	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg
79.653	0.985	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
80.953	1.118	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
82.387	1.168	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
83.871	1.652	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_443.jpg
85.839	1.302	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
87.456	0.968	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
88.74	1.347	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_170.jpg
100.644	1.252	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg
102.211	1.018	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg
