onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
6.065	0.2	posner	valid_cue	correct	right	n/a	n/a	1
6.299	0.969	posner	target_response	correct	right	right	right	1
9.633	0.2	posner	invalid_cue	correct	left	n/a	n/a	2
9.833	0.808	posner	target_response	correct	left	right	right	2
15.719	0.2	posner	invalid_cue	correct	left	n/a	n/a	3
15.919	0.879	posner	target_response	correct	left	right	right	3
21.304	0.2	posner	invalid_cue	correct	left	n/a	n/a	4
21.504	0.796	posner	target_response	correct	left	right	right	4
24.572	0.2	posner	invalid_cue	correct	left	n/a	n/a	5
24.772	0.814	posner	target_response	correct	left	right	right	5
28.357	0.2	posner	invalid_cue	correct	left	n/a	n/a	6
28.557	0.73	posner	target_response	correct	left	right	right	6
35.826	0.2	posner	invalid_cue	correct	left	n/a	n/a	7
36.026	0.766	posner	target_response	correct	left	right	right	7
39.794	0.2	posner	invalid_cue	correct	right	n/a	n/a	8
39.994	0.623	posner	target_response	correct	right	left	left	8
42.962	0.2	posner	invalid_cue	correct	left	n/a	n/a	9
43.162	0.666	posner	target_response	correct	left	right	right	9
47.931	0.2	posner	invalid_cue	correct	left	n/a	n/a	10
48.131	0.576	posner	target_response	correct	left	right	right	10
52.599	0.2	posner	valid_cue	correct	right	n/a	n/a	11
52.799	0.508	posner	target_response	correct	right	right	right	11
63.47	0.2	posner	valid_cue	correct	right	n/a	n/a	12
63.67	0.422	posner	target_response	correct	right	right	right	12
70.939	0.2	posner	valid_cue	correct	right	n/a	n/a	13
71.139	0.513	posner	target_response	correct	right	right	right	13
74.507	0.2	posner	valid_cue	correct	left	n/a	n/a	14
74.707	0.617	posner	target_response	correct	left	left	left	14
77.975	0.2	posner	valid_cue	correct	right	n/a	n/a	15
78.175	0.646	posner	target_response	correct	right	right	right	15
85.245	0.2	posner	invalid_cue	correct	left	n/a	n/a	16
85.445	0.859	posner	target_response	correct	left	right	right	16
89.513	0.2	posner	valid_cue	correct	right	n/a	n/a	17
89.713	0.496	posner	target_response	correct	right	right	right	17
92.681	0.2	posner	invalid_cue	correct	right	n/a	n/a	18
92.881	0.639	posner	target_response	correct	right	left	left	18
98.75	0.2	posner	valid_cue	correct	left	n/a	n/a	19
98.95	0.397	posner	target_response	correct	left	left	left	19
101.918	0.2	posner	invalid_cue	correct	right	n/a	n/a	20
102.118	0.577	posner	target_response	correct	right	left	left	20
108.687	0.2	posner	invalid_cue	correct	left	n/a	n/a	21
108.887	0.66	posner	target_response	correct	left	right	right	21
111.955	0.2	posner	valid_cue	correct	left	n/a	n/a	22
112.155	0.544	posner	target_response	correct	left	left	left	22
115.222	0.2	posner	invalid_cue	correct	right	n/a	n/a	23
115.423	0.596	posner	target_response	correct	right	left	left	23
119.291	0.2	posner	valid_cue	correct	right	n/a	n/a	24
119.491	0.488	posner	target_response	correct	right	right	right	24
122.759	0.2	posner	valid_cue	correct	left	n/a	n/a	25
122.959	0.563	posner	target_response	correct	left	left	left	25
126.727	0.2	posner	invalid_cue	correct	left	n/a	n/a	26
126.927	0.651	posner	target_response	correct	left	right	right	26
129.895	0.2	posner	valid_cue	correct	right	n/a	n/a	27
130.095	0.568	posner	target_response	correct	right	right	right	27
133.563	0.2	posner	valid_cue	correct	left	n/a	n/a	28
133.763	0.477	posner	target_response	correct	left	left	left	28
138.731	0.2	posner	valid_cue	correct	right	n/a	n/a	29
138.931	0.668	posner	target_response	correct	right	right	right	29
147.301	0.2	posner	invalid_cue	correct	left	n/a	n/a	30
147.501	0.926	posner	target_response	correct	left	right	right	30
152.97	0.2	posner	invalid_cue	correct	right	n/a	n/a	31
153.17	0.652	posner	target_response	correct	right	left	left	31
155.938	0.2	posner	valid_cue	correct	right	n/a	n/a	32
156.138	0.627	posner	target_response	correct	right	right	right	32
163.407	0.2	posner	invalid_cue	correct	left	n/a	n/a	33
163.607	0.696	posner	target_response	correct	left	right	right	33
167.275	0.2	posner	valid_cue	correct	left	n/a	n/a	34
167.475	0.607	posner	target_response	correct	left	left	left	34
170.443	0.2	posner	valid_cue	correct	right	n/a	n/a	35
170.643	0.589	posner	target_response	correct	right	right	right	35
174.211	0.2	posner	invalid_cue	correct	left	n/a	n/a	36
