onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.857	1.344	face	n/a	age	surprise	male	African	old	task-faces/2Surprise_Model3_2Male_3African_2Old.mp4
5.201	1.767	rating	0.4519	age	surprise	male	African	old	n/a
6.701	0.267	rating_mouse_trajectory	0.4519	age	surprise	male	African	old	n/a
7.233	1.32	face	n/a	age	happy	male	WC	old	task-faces/1Happy_Model1_2Male_1WC_2Old.mp4
8.552	1.656	rating	0.5914	age	happy	male	WC	old	n/a
8.819	1.389	rating_mouse_trajectory	0.5914	age	happy	male	WC	old	n/a
10.497	1.307	face	n/a	age	sad	male	African	young	task-faces/6Sad_Model2_2Male_3African_1Young.mp4
11.804	0.989	rating	0.5186	age	sad	male	African	young	n/a
12.004	0.789	rating_mouse_trajectory	0.5186	age	sad	male	African	young	n/a
14.73	2.042	face	n/a	age	pleasure	female	EA	young	task-faces/8Pleasure_Model2_1Female_2EA_1Young.mp4
16.772	1.136	rating	0.4377	age	pleasure	female	EA	young	n/a
17.205	0.703	rating_mouse_trajectory	0.4377	age	pleasure	female	EA	young	n/a
18.696	1.327	face	n/a	age	fear	female	African	old	task-faces/3Fear_Model2_1Female_3African_2Old.mp4
20.023	1.5	rating	0.4316	age	fear	female	African	old	n/a
21.173	0.35	rating_mouse_trajectory	0.4316	age	fear	female	African	old	n/a
25.964	1.312	face	n/a	age	fear	male	African	young	task-faces/3Fear_Model1_2Male_3African_1Young.mp4
27.276	1.535	rating	0.284	age	fear	male	African	young	n/a
27.326	1.485	rating_mouse_trajectory	0.284	age	fear	male	African	young	n/a
29.196	1.314	face	n/a	age	happy	female	EA	old	task-faces/1Happy_Model5_1Female_2EA_2Old.mp4
30.511	1.819	rating	0.555	age	happy	female	EA	old	n/a
30.594	1.735	rating_mouse_trajectory	0.555	age	happy	female	EA	old	n/a
32.43	1.299	face	n/a	age	happy	female	WC	young	task-faces/1Happy_Model2_1Female_1WC_1Young.mp4
33.728	1.569	rating	0.4923	age	happy	female	WC	young	n/a
34.262	1.035	rating_mouse_trajectory	0.4923	age	happy	female	WC	young	n/a
35.646	1.3	face	n/a	age	disgust	female	African	old	task-faces/4Disgust_Model3_1Female_3African_2Old.mp4
36.946	1.767	rating	0.5712	age	disgust	female	African	old	n/a
37.48	1.233	rating_mouse_trajectory	0.5712	age	disgust	female	African	old	n/a
38.864	1.301	face	n/a	age	happy	female	WC	old	task-faces/1Happy_Model5_1Female_1WC_2Old.mp4
40.164	1.85	rating	0.642	age	happy	female	WC	old	n/a
40.798	1.217	rating_mouse_trajectory	0.642	age	happy	female	WC	old	n/a
44.08	1.319	face	n/a	age	happy	female	EA	young	task-faces/1Happy_Model4_1Female_2EA_1Young.mp4
45.399	1.533	rating	0.3548	age	happy	female	EA	young	n/a
45.799	1.133	rating_mouse_trajectory	0.3548	age	happy	female	EA	young	n/a
48.323	2.045	face	n/a	age	pain	male	African	young	task-faces/7Pain_Model4_2Male_3African_1Young.mp4
50.368	1.4	rating	0.3123	age	pain	male	African	young	n/a
50.668	1.1	rating_mouse_trajectory	0.3123	age	pain	male	African	young	n/a
54.292	1.311	face	n/a	age	anger	male	EA	young	task-faces/5Anger_Model3_2Male_2EA_1Young.mp4
55.603	1.605	rating	0.3022	age	anger	male	EA	young	n/a
55.653	1.555	rating_mouse_trajectory	0.3022	age	anger	male	EA	young	n/a
58.531	1.307	face	n/a	age	sad	male	EA	young	task-faces/6Sad_Model4_2Male_2EA_1Young.mp4
59.838	1.717	rating	0.2152	age	sad	male	EA	young	n/a
60.488	1.067	rating_mouse_trajectory	0.2152	age	sad	male	EA	young	n/a
