onset	duration	trial_type	response_value	stim_file
2.766	105.981	video	n/a	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
112.964	4.162	rating_relevance	28.54	n/a
115.749	1.933	rating_happy	48.85	n/a
121.701	2.867	rating_sad	17.19	n/a
125.319	1.466	rating_afraid	3.85	n/a
130.187	1.323	rating_disgusted	1.88	n/a
136.139	2.254	rating_warm	41.46	n/a
140.491	1.586	rating_engaged	47.71	n/a
143.937	74.824	video	n/a	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
223.322	n/a	rating_relevance	n/a	n/a
226.273	2.432	rating_happy	36.35	n/a
230.725	1.866	rating_sad	16.25	n/a
235.693	1.816	rating_afraid	5.73	n/a
241.462	2.567	rating_disgusted	7.71	n/a
248.431	n/a	rating_warm	n/a	n/a
253.45	n/a	rating_engaged	n/a	n/a
253.982	196.925	video	n/a	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
453.608	2.646	rating_relevance	12.29	n/a
458.36	2.382	rating_happy	39.38	n/a
463.612	2.617	rating_sad	12.5	n/a
467.88	1.867	rating_afraid	5.94	n/a
472.648	1.617	rating_disgusted	5.0	n/a
477.517	1.466	rating_warm	7.92	n/a
482.819	1.75	rating_engaged	56.35	n/a
