onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.938	1.034	memory	dummy	study_dummy	n/a	task-memory/obj040butterfly.png	n/a	n/a
9.988	1.017	memory	dummy	study_dummy	n/a	task-memory/obj062cigarette.png	n/a	n/a
12.023	1.017	memory	dummy	study_dummy	n/a	task-memory/obj103fire.png	n/a	n/a
14.073	1.017	memory	study	study	n/a	task-memory/obj167lightning.png	n/a	n/a
16.124	1.017	memory	study	study	n/a	task-memory/obj074cross.png	n/a	n/a
18.158	1.017	memory	study	study	n/a	task-memory/obj064clock.png	n/a	n/a
20.192	1.017	memory	study	study	n/a	task-memory/obj042cactus.png	n/a	n/a
22.226	1.017	memory	study	study	n/a	task-memory/obj199onion.png	n/a	n/a
24.26	1.017	memory	study	study	n/a	task-memory/obj205pan.png	n/a	n/a
26.295	1.017	memory	study	study	n/a	task-memory/obj004anchor.png	n/a	n/a
28.329	1.017	memory	study	study	n/a	task-memory/obj203paintbrush.png	n/a	n/a
30.363	1.017	memory	study	study	n/a	task-memory/obj221pinecone.png	n/a	n/a
32.397	1.017	memory	study	study	n/a	task-memory/obj341window.png	n/a	n/a
34.431	1.017	memory	study	study	n/a	task-memory/obj084dolphin.png	n/a	n/a
36.465	1.017	memory	study	study	n/a	task-memory/obj210peacock.png	n/a	n/a
38.499	1.017	memory	study	study	n/a	task-memory/obj014banana.png	n/a	n/a
40.533	1.017	memory	study	study	n/a	task-memory/obj184monkey.png	n/a	n/a
42.567	1.017	memory	study	study	n/a	task-memory/obj326violin.png	n/a	n/a
44.601	1.017	memory	study	study	n/a	task-memory/obj322unicycle.png	n/a	n/a
46.652	1.017	memory	study	study	n/a	task-memory/obj209paperclip.png	n/a	n/a
48.686	1.017	memory	study	study	n/a	task-memory/obj334wheel.png	n/a	n/a
50.737	1.017	memory	study	study	n/a	task-memory/obj144hose.png	n/a	n/a
52.771	1.017	memory	study	study	n/a	task-memory/obj157knife.png	n/a	n/a
54.805	1.017	memory	dummy	study_dummy	n/a	task-memory/obj152jumprope.png	n/a	n/a
56.839	1.017	memory	dummy	study_dummy	n/a	task-memory/obj215pencilsharpener.png	n/a	n/a
58.873	1.017	memory	dummy	study_dummy	n/a	task-memory/obj241ring.png	n/a	n/a
71.078	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.138	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.199	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.259	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.139	1.771	memory	test	test_old	correct	task-memory/obj074cross.png	old	n/a
191.99	1.363	memory	test	test_old	correct	task-memory/obj341window.png	old	n/a
194.557	0.96	memory	test	test_new	correct	task-memory/obj010baby.png	new	n/a
197.142	2.0	memory	test	test_new	correct	task-memory/obj272skunk.png	n/a	n/a
199.709	1.17	memory	test	test_new	incorrect	task-memory/obj329walrus.png	old	n/a
202.577	1.922	memory	test	test_new	correct	task-memory/obj128hamburger.png	new	n/a
205.595	2.0	memory	test	test_new	correct	task-memory/obj030bone.png	n/a	n/a
208.262	1.225	memory	test	test_new	correct	task-memory/obj165leopard.png	new	n/a
210.997	1.217	memory	test	test_old	correct	task-memory/obj014banana.png	old	n/a
213.764	1.799	memory	test	test_new	incorrect	task-memory/obj132hanger.png	old	n/a
216.882	0.765	memory	test	test_old	correct	task-memory/obj199onion.png	old	n/a
219.683	1.464	memory	test	test_new	correct	task-memory/obj228porcupine.png	new	n/a
222.351	2.0	memory	test	test_new	correct	task-memory/obj274slide.png	n/a	n/a
224.985	2.0	memory	test	test_new	correct	task-memory/obj115funnel.png	n/a	n/a
227.92	1.014	memory	test	test_old	correct	task-memory/obj064clock.png	old	n/a
230.821	1.268	memory	test	test_new	correct	task-memory/obj090drum.png	new	n/a
233.522	0.775	memory	test	test_old	correct	task-memory/obj209paperclip.png	old	n/a
236.089	1.276	memory	test	test_new	correct	task-memory/obj015bandaid.png	new	n/a
238.89	1.803	memory	test	test_new	incorrect	task-memory/obj038broom.png	old	n/a
241.958	0.9	memory	test	test_old	correct	task-memory/obj004anchor.png	old	n/a
244.559	1.017	memory	test	test_old	correct	task-memory/obj205pan.png	old	n/a
247.377	0.954	memory	test	test_old	incorrect	task-memory/obj144hose.png	new	n/a
250.261	1.254	memory	test	test_old	correct	task-memory/obj184monkey.png	old	n/a
253.263	1.571	memory	test	test_new	correct	task-memory/obj202package.png	new	n/a
