onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.845	3.137	cue	n/a	n/a	mentalizing	remember	n/a
5.983	5.218	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
11.299	4.385	rating	85.84	Very strong	mentalizing	remember	n/a
12.999	2.685	rating_mouse_trajectory	85.84	Very strong	mentalizing	remember	n/a
16.371	5.498	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
21.936	3.085	rating	66.21	Very strong	mentalizing	remember	n/a
23.503	1.518	rating_mouse_trajectory	66.21	Very strong	mentalizing	remember	n/a
27.056	5.561	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
32.69	1.944	rating	113.96	Strongest possible	mentalizing	remember	n/a
33.373	1.26	rating_mouse_trajectory	113.96	Strongest possible	mentalizing	remember	n/a
37.708	3.141	cue	n/a	n/a	similarity	n/a	n/a
40.85	5.196	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
46.112	1.051	rating	4.13	Weak	similarity	n/a	n/a
46.412	0.751	rating_mouse_trajectory	4.13	Weak	similarity	n/a	n/a
51.21	5.558	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
56.849	1.385	rating	53.83	Strong	similarity	n/a	n/a
57.166	1.068	rating_mouse_trajectory	53.83	Strong	similarity	n/a	n/a
61.926	5.394	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
67.386	1.601	rating	16.14	Moderate	similarity	n/a	n/a
68.103	0.885	rating_mouse_trajectory	16.14	Moderate	similarity	n/a	n/a
72.421	3.115	cue	n/a	n/a	likeability	n/a	n/a
75.536	5.797	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
81.391	2.859	rating	90.5	Very strong	likeability	n/a	n/a
82.625	1.626	rating_mouse_trajectory	90.5	Very strong	likeability	n/a	n/a
86.489	6.845	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
93.396	2.071	rating	154.27	Strongest possible	likeability	n/a	n/a
