onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.801	3.188	cue	n/a	n/a	likeability	n/a	n/a
5.988	5.332	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
11.437	3.103	rating	45.69	Strong	likeability	n/a	n/a
12.22	2.32	rating_mouse_trajectory	45.69	Strong	likeability	n/a	n/a
16.547	5.011	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
21.624	2.385	rating	19.16	Moderate	likeability	n/a	n/a
22.658	1.352	rating_mouse_trajectory	19.16	Moderate	likeability	n/a	n/a
26.701	5.394	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
32.161	2.501	rating	29.87	Strong	likeability	n/a	n/a
32.845	1.818	rating_mouse_trajectory	29.87	Strong	likeability	n/a	n/a
37.18	3.12	cue	n/a	n/a	mentalizing	remember	n/a
40.3	5.507	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
45.867	3.317	rating	44.1	Strong	mentalizing	remember	n/a
48.217	0.967	rating_mouse_trajectory	44.1	Strong	mentalizing	remember	n/a
50.947	5.227	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
56.237	3.9	rating	31.29	Strong	mentalizing	remember	n/a
57.37	2.767	rating_mouse_trajectory	31.29	Strong	mentalizing	remember	n/a
61.348	5.559	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
66.974	3.217	rating	3.68	Weak	mentalizing	remember	n/a
67.824	2.367	rating_mouse_trajectory	3.68	Weak	mentalizing	remember	n/a
72.01	3.146	cue	n/a	n/a	similarity	n/a	n/a
75.156	6.351	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
81.563	1.794	rating	1.61	Barely detectable	similarity	n/a	n/a
81.613	1.744	rating_mouse_trajectory	1.61	Barely detectable	similarity	n/a	n/a
86.693	5.174	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
91.95	2.685	rating	2.77	Barely detectable	similarity	n/a	n/a
93.0	1.635	rating_mouse_trajectory	2.77	Barely detectable	similarity	n/a	n/a
97.047	5.841	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
102.955	3.236	rating	20.5	Moderate	similarity	n/a	n/a
104.121	2.07	rating_mouse_trajectory	20.5	Moderate	similarity	n/a	n/a
107.973	3.125	cue	n/a	n/a	mentalizing	danger	n/a
111.098	5.295	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
116.46	4.074	rating	6.01	Weak	mentalizing	danger	n/a
118.443	2.091	rating_mouse_trajectory	6.01	Weak	mentalizing	danger	n/a
121.607	5.106	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
126.78	3.501	rating	109.86	Strongest possible	mentalizing	danger	n/a
127.797	2.485	rating_mouse_trajectory	109.86	Strongest possible	mentalizing	danger	n/a
131.893	6.348	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
138.301	3.089	rating	129.19	Strongest possible	mentalizing	danger	n/a
139.201	2.189	rating_mouse_trajectory	129.19	Strongest possible	mentalizing	danger	n/a
143.32	3.129	cue	n/a	n/a	likeability	n/a	n/a
146.449	6.191	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
152.706	4.685	rating	45.5	Strong	likeability	n/a	n/a
153.923	3.469	rating_mouse_trajectory	45.5	Strong	likeability	n/a	n/a
158.022	5.556	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
163.644	2.368	rating	17.63	Moderate	likeability	n/a	n/a
164.377	1.634	rating_mouse_trajectory	17.63	Moderate	likeability	n/a	n/a
168.781	5.121	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
173.981	3.243	rating	10.45	Moderate	likeability	n/a	n/a
174.981	2.243	rating_mouse_trajectory	10.45	Moderate	likeability	n/a	n/a
179.016	3.184	cue	n/a	n/a	similarity	n/a	n/a
182.2	5.12	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
187.386	4.038	rating	4.65	Weak	similarity	n/a	n/a
188.353	3.071	rating_mouse_trajectory	4.65	Weak	similarity	n/a	n/a
192.488	6.836	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
199.39	2.835	rating	21.67	Moderate	similarity	n/a	n/a
200.274	1.951	rating_mouse_trajectory	21.67	Moderate	similarity	n/a	n/a
204.534	6.673	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
211.278	4.669	rating	3.68	Weak	similarity	n/a	n/a
213.295	2.652	rating_mouse_trajectory	3.68	Weak	similarity	n/a	n/a
216.497	3.122	cue	n/a	n/a	mentalizing	tired	n/a
219.619	6.188	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
225.884	4.223	rating	0.0	No sensation	mentalizing	tired	n/a
227.45	2.657	rating_mouse_trajectory	0.0	No sensation	mentalizing	tired	n/a
230.999	5.575	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
236.638	2.969	rating	1.38	Barely detectable	mentalizing	tired	n/a
237.638	1.969	rating_mouse_trajectory	1.38	Barely detectable	mentalizing	tired	n/a
241.736	5.006	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
246.791	4.769	rating	43.97	Strong	mentalizing	tired	n/a
247.825	3.735	rating_mouse_trajectory	43.97	Strong	mentalizing	tired	n/a
252.11	3.188	cue	n/a	n/a	likeability	n/a	n/a
255.299	6.675	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
262.047	4.302	rating	1.61	Barely detectable	likeability	n/a	n/a
262.797	3.552	rating_mouse_trajectory	1.61	Barely detectable	likeability	n/a	n/a
267.124	5.227	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
272.418	2.939	rating	0.92	Barely detectable	likeability	n/a	n/a
273.284	2.073	rating_mouse_trajectory	0.92	Barely detectable	likeability	n/a	n/a
277.495	5.296	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
282.855	3.319	rating	62.91	Strong	likeability	n/a	n/a
283.588	2.585	rating_mouse_trajectory	62.91	Strong	likeability	n/a	n/a
287.873	3.139	cue	n/a	n/a	mentalizing	heights	n/a
291.012	5.832	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
296.91	3.968	rating	0.0	No sensation	mentalizing	heights	n/a
298.71	2.168	rating_mouse_trajectory	0.0	No sensation	mentalizing	heights	n/a
302.014	5.009	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
307.081	2.293	rating	1.84	Barely detectable	mentalizing	heights	n/a
308.214	1.16	rating_mouse_trajectory	1.84	Barely detectable	mentalizing	heights	n/a
312.177	5.192	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
317.435	2.522	rating	2.78	Barely detectable	mentalizing	heights	n/a
318.301	1.656	rating_mouse_trajectory	2.78	Barely detectable	mentalizing	heights	n/a
322.47	3.115	cue	n/a	n/a	likeability	n/a	n/a
325.585	5.505	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
331.156	4.669	rating	25.6	Moderate	likeability	n/a	n/a
332.673	3.152	rating_mouse_trajectory	25.6	Moderate	likeability	n/a	n/a
336.454	6.34	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
342.861	3.835	rating	26.57	Moderate	likeability	n/a	n/a
343.744	2.952	rating_mouse_trajectory	26.57	Moderate	likeability	n/a	n/a
347.962	4.086	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
352.114	3.535	rating	39.84	Strong	likeability	n/a	n/a
352.797	2.852	rating_mouse_trajectory	39.84	Strong	likeability	n/a	n/a
357.133	3.148	cue	n/a	n/a	similarity	n/a	n/a
360.281	5.043	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
365.386	3.571	rating	43.49	Strong	similarity	n/a	n/a
366.802	2.155	rating_mouse_trajectory	43.49	Strong	similarity	n/a	n/a
370.486	5.004	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
375.556	2.234	rating	2.82	Barely detectable	similarity	n/a	n/a
376.556	1.234	rating_mouse_trajectory	2.82	Barely detectable	similarity	n/a	n/a
380.627	5.217	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
385.893	3.635	rating	28.67	Moderate	similarity	n/a	n/a
387.277	2.252	rating_mouse_trajectory	28.67	Moderate	similarity	n/a	n/a
390.912	3.141	cue	n/a	n/a	likeability	n/a	n/a
394.053	5.563	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
399.682	4.168	rating	13.87	Moderate	likeability	n/a	n/a
400.815	3.035	rating_mouse_trajectory	13.87	Moderate	likeability	n/a	n/a
404.785	5.006	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
409.869	4.855	rating	37.35	Strong	likeability	n/a	n/a
411.386	3.338	rating_mouse_trajectory	37.35	Strong	likeability	n/a	n/a
415.347	5.043	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
420.456	4.735	rating	61.9	Strong	likeability	n/a	n/a
421.373	3.819	rating_mouse_trajectory	61.9	Strong	likeability	n/a	n/a
425.742	3.165	cue	n/a	n/a	mentalizing	angry	n/a
428.906	5.172	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
434.145	2.701	rating	0.0	No sensation	mentalizing	angry	n/a
436.011	0.834	rating_mouse_trajectory	0.0	No sensation	mentalizing	angry	n/a
439.266	4.082	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
443.415	2.318	rating	1.39	Barely detectable	mentalizing	angry	n/a
444.331	1.401	rating_mouse_trajectory	1.39	Barely detectable	mentalizing	angry	n/a
448.575	6.677	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
455.336	2.771	rating	27.42	Moderate	mentalizing	angry	n/a
456.486	1.621	rating_mouse_trajectory	27.42	Moderate	mentalizing	angry	n/a
460.371	3.118	cue	n/a	n/a	similarity	n/a	n/a
463.489	5.502	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
469.041	4.335	rating	34.23	Strong	similarity	n/a	n/a
470.391	2.985	rating_mouse_trajectory	34.23	Strong	similarity	n/a	n/a
474.147	6.116	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
480.329	3.218	rating	33.3	Strong	similarity	n/a	n/a
481.462	2.085	rating_mouse_trajectory	33.3	Strong	similarity	n/a	n/a
485.44	5.017	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
490.516	4.008	rating	38.1	Strong	similarity	n/a	n/a
491.066	3.458	rating_mouse_trajectory	38.1	Strong	similarity	n/a	n/a
495.551	3.16	cue	n/a	n/a	likeability	n/a	n/a
498.711	5.163	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
503.937	4.136	rating	17.84	Moderate	likeability	n/a	n/a
505.221	2.853	rating_mouse_trajectory	17.84	Moderate	likeability	n/a	n/a
509.042	5.833	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
514.941	3.768	rating	40.78	Strong	likeability	n/a	n/a
516.225	2.485	rating_mouse_trajectory	40.78	Strong	likeability	n/a	n/a
