onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
6.05904817581177	0.2	invalid_cue	correct	left	n/a	n/a	1
6.2924690246582	0.432440042495728	target_response	correct	left	right	right	1
9.56035375595093	0.2	invalid_cue	correct	right	n/a	n/a	2
9.76042890548706	0.463601112365723	target_response	correct	right	left	left	2
12.6281650066376	0.2	invalid_cue	correct	right	n/a	n/a	3
12.8282392024994	0.412623882293701	target_response	correct	right	left	left	3
18.0968713760376	0.2	invalid_cue	correct	left	n/a	n/a	4
18.2969462871552	0.444142818450928	target_response	correct	left	right	right	4
22.3651287555695	0.2	invalid_cue	correct	left	n/a	n/a	5
22.5652041435242	0.412651062011719	target_response	correct	left	right	right	5
25.733051776886	0.2	invalid_cue	correct	left	n/a	n/a	6
25.9331266880035	0.456977367401123	target_response	correct	left	right	right	6
32.7023179531097	0.2	invalid_cue	correct	left	n/a	n/a	7
32.902391910553	0.410443067550659	target_response	correct	left	right	right	7
39.1713967323303	0.2	valid_cue	correct	left	n/a	n/a	8
39.3714709281921	0.374073266983032	target_response	correct	left	left	left	8
42.7393937110901	0.2	valid_cue	correct	right	n/a	n/a	9
42.9394690990448	0.421416044235229	target_response	correct	right	right	right	9
46.1073172092438	0.2	invalid_cue	correct	right	n/a	n/a	10
46.3073909282684	0.424757242202759	target_response	correct	right	left	left	10
50.4756124019623	0.2	invalid_cue	correct	left	n/a	n/a	11
50.6756868362427	0.396608352661133	target_response	correct	left	right	right	11
54.0436103343964	0.2	valid_cue	correct	left	n/a	n/a	12
54.243684053421	0.369358062744141	target_response	correct	left	left	left	12
57.4115324020386	0.2	valid_cue	correct	left	n/a	n/a	13
57.611606836319	0.367423295974731	target_response	correct	left	left	left	13
62.0799398422241	0.2	valid_cue	correct	right	n/a	n/a	14
62.2800137996674	0.509869337081909	target_response	correct	right	right	right	14
65.6479368209839	0.2	invalid_cue	correct	left	n/a	n/a	15
65.8480117321014	0.504099369049072	target_response	correct	left	right	right	15
71.0166056156158	0.2	invalid_cue	correct	left	n/a	n/a	16
71.2166810035706	0.501228094100952	target_response	correct	left	right	right	16
78.4860575199127	0.2	valid_cue	correct	left	n/a	n/a	17
78.6861326694489	0.433776378631592	target_response	correct	left	left	left	17
82.2541298866272	0.2	invalid_cue	correct	left	n/a	n/a	18
82.4542043209076	0.411887884140015	target_response	correct	left	right	right	18
89.1233580112457	0.2	valid_cue	correct	right	n/a	n/a	19
89.3234331607819	0.318322896957397	target_response	correct	right	right	right	19
96.5928101539612	0.2	valid_cue	correct	right	n/a	n/a	20
96.7928850650787	0.909101963043213	target_response	correct	right	right	right	20
100.260845661163	0.2	valid_cue	correct	left	n/a	n/a	21
100.460920095444	0.386580944061279	target_response	correct	left	left	left	21
103.228617668152	0.2	invalid_cue	correct	right	n/a	n/a	22
103.428693056107	0.470598936080933	target_response	correct	right	left	left	22
106.29642868042	0.2	invalid_cue	correct	left	n/a	n/a	23
106.496502876282	0.381960153579712	target_response	correct	left	right	right	23
109.264203071594	0.2	invalid_cue	correct	left	n/a	n/a	24
109.4642765522	0.349733591079712	target_response	correct	left	right	right	24
114.832946062088	0.2	invalid_cue	correct	left	n/a	n/a	25
115.033020496368	0.374826669692993	target_response	correct	left	right	right	25
123.702920436859	0.2	valid_cue	correct	left	n/a	n/a	26
123.902995347977	0.488860845565796	target_response	correct	left	left	left	26
126.770731687546	0.2	invalid_cue	correct	right	n/a	n/a	27
126.970806121826	0.610971927642822	target_response	correct	right	left	left	27
132.739624023438	0.2	valid_cue	correct	right	n/a	n/a	28
132.939698934555	0.364865064620972	target_response	correct	right	right	right	28
136.10754609108	0.2	invalid_cue	correct	right	n/a	n/a	29
136.307620763779	0.39716625213623	target_response	correct	right	left	left	29
