onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
95.345	2.047	face	n/a	sex	pain	female	African	old	task-faces/7Pain_Model5_1Female_3African_2Old.mp4
97.391	0.751	rating	0.0	sex	pain	female	African	old	n/a
97.758	0.385	rating_mouse_trajectory	0.0	sex	pain	female	African	old	n/a
100.297	1.312	face	n/a	sex	anger	male	EA	old	task-faces/5Anger_Model2_2Male_2EA_2Old.mp4
101.609	0.735	rating	0.0	sex	anger	male	EA	old	n/a
101.959	0.385	rating_mouse_trajectory	0.0	sex	anger	male	EA	old	n/a
104.533	1.311	face	n/a	sex	disgust	male	WC	young	task-faces/4Disgust_Model3_2Male_1WC_1Young.mp4
105.844	0.785	rating	0.0	sex	disgust	male	WC	young	n/a
106.194	0.435	rating_mouse_trajectory	0.0	sex	disgust	male	WC	young	n/a
108.764	2.048	face	n/a	sex	pleasure	male	EA	old	task-faces/8Pleasure_Model5_2Male_2EA_2Old.mp4
110.813	0.718	rating	0.0	sex	pleasure	male	EA	old	n/a
111.129	0.401	rating_mouse_trajectory	0.0	sex	pleasure	male	EA	old	n/a
112.719	1.312	face	n/a	sex	sad	female	EA	young	task-faces/6Sad_Model2_1Female_2EA_1Young.mp4
114.031	1.135	rating	0.8159	sex	sad	female	EA	young	n/a
114.381	0.785	rating_mouse_trajectory	0.8159	sex	sad	female	EA	young	n/a
115.936	2.046	face	n/a	sex	pain	female	WC	old	task-faces/7Pain_Model4_1Female_1WC_2Old.mp4
117.982	0.685	rating	0.0	sex	pain	female	WC	old	n/a
118.282	0.385	rating_mouse_trajectory	0.0	sex	pain	female	WC	old	n/a
119.888	1.312	face	n/a	sex	sad	male	EA	young	task-faces/6Sad_Model3_2Male_2EA_1Young.mp4
121.2	0.809	rating	0.0	sex	sad	male	EA	young	n/a
121.6	0.409	rating_mouse_trajectory	0.0	sex	sad	male	EA	young	n/a
124.124	1.311	face	n/a	sex	disgust	female	WC	old	task-faces/4Disgust_Model1_1Female_1WC_2Old.mp4
125.435	0.991	rating	0.6784	sex	disgust	female	WC	old	n/a
125.785	0.641	rating_mouse_trajectory	0.6784	sex	disgust	female	WC	old	n/a
128.359	2.045	face	n/a	sex	pleasure	female	African	young	task-faces/8Pleasure_Model1_1Female_3African_1Young.mp4
130.403	0.972	rating	0.2031	sex	pleasure	female	African	young	n/a
130.67	0.706	rating_mouse_trajectory	0.2031	sex	pleasure	female	African	young	n/a
133.326	2.046	face	n/a	sex	pain	female	EA	old	task-faces/7Pain_Model2_1Female_2EA_2Old.mp4
135.372	0.837	rating	0.6339	sex	pain	female	EA	old	n/a
135.672	0.537	rating_mouse_trajectory	0.6339	sex	pain	female	EA	old	n/a
137.294	1.312	face	n/a	sex	anger	female	African	young	task-faces/5Anger_Model1_1Female_3African_1Young.mp4
138.606	0.853	rating	0.82	sex	anger	female	African	young	n/a
139.04	0.419	rating_mouse_trajectory	0.82	sex	anger	female	African	young	n/a
140.511	2.047	face	n/a	sex	pleasure	male	WC	old	task-faces/8Pleasure_Model3_2Male_1WC_2Old.mp4
142.558	0.718	rating	0.0	sex	pleasure	male	WC	old	n/a
142.891	0.385	rating_mouse_trajectory	0.0	sex	pleasure	male	WC	old	n/a
145.464	1.312	face	n/a	sex	fear	male	African	young	task-faces/3Fear_Model5_2Male_3African_1Young.mp4
146.776	0.818	rating	0.0	sex	fear	male	African	young	n/a
147.243	0.352	rating_mouse_trajectory	0.0	sex	fear	male	African	young	n/a
148.697	2.047	face	n/a	sex	pleasure	male	WC	young	task-faces/8Pleasure_Model4_2Male_1WC_1Young.mp4
150.744	0.685	rating	0.0	sex	pleasure	male	WC	young	n/a
151.044	0.385	rating_mouse_trajectory	0.0	sex	pleasure	male	WC	young	n/a
152.664	2.048	face	n/a	sex	pain	female	WC	young	task-faces/7Pain_Model1_1Female_1WC_1Young.mp4
154.712	1.068	rating	0.822	sex	pain	female	WC	young	n/a
155.062	0.718	rating_mouse_trajectory	0.822	sex	pain	female	WC	young	n/a
158.631	1.333	face	n/a	sex	sad	female	WC	young	task-faces/6Sad_Model4_1Female_1WC_1Young.mp4
159.964	0.918	rating	0.7512	sex	sad	female	WC	young	n/a
160.364	0.518	rating_mouse_trajectory	0.7512	sex	sad	female	WC	young	n/a
